Covariate,Category,Prop_Any,Colonisation,Extinction_Persistence,Detection,Initial occupancy,Occupancy,Prop_Dynamic,Prop_Direct,Prop_Nonlinear,Prop_Interact
GEOM,E,0.26,0.2,0.23,0.08,0.13,0.29,0.22,0.27,0.17,0.04
HABT,E,0.44,0.31,0.37,0.17,0.32,0.21,0.29,0.32,0.07,0.15
SURV,S,0.16,0,0,0.16,0,0,1,0.15,0.14,0
LACO,E,0.21,0.19,0.18,0.08,0.15,0.07,0.18,0,0.21,0.42
SPEC,S,0.06,0.05,0.05,0.04,0.05,0,0,0,0,0.6
SPAT,E,0.12,0.09,0.07,0.03,0.1,0.07,0,0,0.18,0.45
CONN,E,0.24,0.23,0.15,0.01,0.13,0.14,0.26,0.37,0.14,0.14
HYDR,E,0.13,0.13,0.11,0.03,0.08,0.21,0.58,0.19,0.33,0.25
HABA,E,0.04,0.03,0.05,0.03,0.03,0,0.2,0.74,0.25,0.25
PHEN,E,0.38,0.06,0.05,0.37,0.01,0,1,0,0.41,0.12
CLWE,E,0.26,0.1,0.11,0.2,0.1,0,0.63,0.17,0.3,0.17
OTHER,E,0.21,0.05,0.11,0.12,0.04,0.21,0.77,0.82,0,0
SEAS,S,0.66,0.38,0.38,0.62,0.01,0.43,0.99,0,0.15,0.1
SITE,S,0.03,0.02,0.02,0.02,0,0,0,0,0,0
TOPO,E,0.21,0.12,0.13,0.06,0.18,0.29,0,0.08,0.26,0.16
ANTH,E,0.23,0.22,0.19,0.04,0.16,0.07,0.58,0.04,0.1,0.29
OBSE,S,0.2,0,0,0.2,0,0,0.9,0.1,0.06,0.11
AGRI,E,0.06,0.05,0.02,0,0.05,0,0,0,0,0.2
DISA,E,0.06,0.03,0.04,0,0.01,0.07,0.83,0,0.4,0.6
BIOT,E,0.16,0.14,0.14,0.06,0.06,0,0.73,0.76,0.07,0.21
DIST,E,0.04,0.03,0.04,0.02,0.01,0.07,0.67,0,0.25,0.5
PROT,E,0.02,0.01,0.02,0,0.03,0,0.29,0,0,0
OBSE,E,0.01,0,0,0.01,0,0,1,0,0,0
OTHER,S,0.03,0,0,0.02,0.01,0,0.6,0.6,0,0.33
Environmental,E,0.91,0.74,0.75,0.72,0.61,0.93,0.42,0.17,0.34,0.28
Structural,S,0.82,0.42,0.42,0.81,0.06,0.43,0.87,0.04,0.15,0.12
Overall,O,0.99,0.85,0.86,0.97,0.63,1,0.46,0.16,0.35,0.26
