Covariate,Category,Prop_Any,Colonisation,Extinction_Persistence,Detection,Initial occupancy,Occupancy,Prop_Dynamic,Prop_Direct,Prop_Nonlinear,Prop_Interact
GEOM,E,0.31,0.25,0.28,0.1,0.16,0.22,0.23,0.26,0.17,0.06
HABT,E,0.52,0.34,0.43,0.17,0.37,0.33,0.32,0.32,0.1,0.17
SURV,S,0.14,0,0,0.14,0,0,1,0.21,0.12,0
LACO,E,0.21,0.21,0.2,0.09,0.16,0.11,0.03,0.01,0.25,0.5
SPEC,S,0.07,0.05,0.06,0.07,0.06,0,0,0,0,0.75
SPAT,E,0.12,0.09,0.06,0.03,0.1,0.11,0,0,0.14,0.43
CONN,E,0.26,0.27,0.15,0.02,0.16,0.11,0.24,0.33,0.2,0.13
HYDR,E,0.14,0.12,0.09,0.03,0.08,0.22,0.41,0.36,0.38,0.25
HABA,E,0.05,0.05,0.06,0.03,0.04,0,0.27,0.65,0.33,0.33
PHEN,E,0.4,0.05,0.06,0.4,0.02,0,1,0,0.39,0.13
CLWE,E,0.22,0.11,0.11,0.17,0.1,0,0.62,0.15,0.46,0.15
OTHER,E,0.22,0.04,0.09,0.12,0.04,0.22,0.88,0.85,0,0
SEAS,S,0.67,0.39,0.37,0.66,0.02,0.44,0.99,0,0.13,0.1
SITE,S,0.02,0.02,0.02,0.02,0,0,0,0,0,0
TOPO,E,0.22,0.12,0.15,0.09,0.22,0.11,0,0.04,0.23,0.23
ANTH,E,0.19,0.18,0.13,0.03,0.16,0.11,0.09,0.11,0.09,0.36
OBSE,S,0.19,0,0,0.19,0,0,0.9,0.15,0.09,0.18
AGRI,E,0.07,0.07,0.04,0,0.06,0,0,0,0,0.25
DISA,E,0.03,0.02,0.02,0,0.02,0,0.91,0,0,0.5
BIOT,E,0.1,0.09,0.09,0.05,0.06,0,0.73,0.87,0.17,0.33
DIST,E,0.07,0.05,0.06,0.03,0.02,0.11,0.67,0,0.25,0.5
PROT,E,0.02,0.02,0.02,0,0.02,0,0.4,0,0,0
Environmental,E,0.91,0.75,0.72,0.74,0.63,1,0.29,0.19,0.38,0.28
Structural,S,0.86,0.43,0.41,0.84,0.08,0.44,0.87,0.04,0.14,0.14
Overall,O,0.98,0.86,0.83,0.98,0.65,1,0.35,0.17,0.37,0.26
