"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"AUBVRRVI","report","2019","Zhang, Helin; Liao, Jinbao","Non-shared dispersal networks with heterogeneity promote species coexistence in hierarchical competitive communities","","","","","http://biorxiv.org/lookup/doi/10.1101/2019.12.14.876383","Abstract           The competition-colonization trade-off has been a classic paradigm to understand the maintenance of biodiversity in natural ecosystems. However, species-specific dispersal heterogeneities are not well integrated into our general understanding of how spatial coexistence emerges between competitors. Combining both network and metapopulation approaches, we construct a spatially explicit, patch-occupancy dynamic model for communities with hierarchically preemptive competition, to explore species coexistence in shared vs. non-shared dispersal networks with contrasting heterogeneities (including regular, random, exponential and scale-free networks). Our model shows that species with the same demography (i.e. identical colonization and extinction rates) cannot coexist stably in shared networks (i.e. the same dispersal pathways), regardless of dispersal heterogeneity. In contrast, increasing dispersal heterogeneity (even at very low levels of heterogeneity) in non-shared networks can greatly promote spatial coexistence, owing to the segregation-aggregation mechanism by which each species is restricted to self-organized clusters with a core of the most connected patches. However, these competitive patterns are largely mediated by species life-history attributes, for example, a unimodal biodiversity response to an increase of species dispersal rate emerges in non-shared heterogeneous networks, with species richness peaking at intermediate dispersal levels. Interestingly, increasing network size can foster species coexistence, leading to a monotonic increase in species-area curves. This strongly suggests that, unexpectedly, many more species can co-occur than the number of limiting resources. Overall, this modelling study, filling the gap between network structure and spatial competition, provides new insights into the coexistence mechanisms of spatial heterogeneity.","2019-12-15","2021-10-27 00:03:50","2021-10-27 00:03:50","2021-10-27 00:03:50","","","","","","","","","","","","Ecology","","en","","preprint","","","DOI.org (Crossref)","","DOI: 10.1101/2019.12.14.876383","","/Users/kelleherj/Zotero/storage/CWBLS99L/Zhang and Liao - 2019 - Non-shared dispersal networks with heterogeneity p.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MUWFTRUC","journalArticle","2012","Falke, Jeffrey A.; Bailey, Larissa L.; Fausch, Kurt D.; Bestgen, Kevin R.","Colonization and extinction in dynamic habitats: an occupancy approach for a Great Plains stream fish assemblage","Ecology","","0012-9658, 1939-9170","10.1890/11-1515.1","https://onlinelibrary.wiley.com/doi/10.1890/11-1515.1","Despite the importance of habitat in determining species distribution and persistence, habitat dynamics are rarely modeled in studies of metapopulations. We used an integrated habitat–occupancy model to simultaneously quantify habitat change, site ﬁdelity, and local colonization and extinction rates for larvae of a suite of Great Plains stream ﬁshes in the Arikaree River, eastern Colorado, USA, across three years. Sites were located along a gradient of ﬂow intermittency and groundwater connectivity. Hydrology varied across years: the ﬁrst and third being relatively wet and the second dry. Despite hydrologic variation, our results indicated that site suitability was random from one year to the next. Occupancy probabilities were also independent of previous habitat and occupancy state for most species, indicating little site ﬁdelity. Climate and groundwater connectivity were important drivers of local extinction and colonization, but the importance of groundwater differed between periods. Across species, site extinction probabilities were highest during the transition from wet to dry conditions (range: 0.52–0.98), and the effect of groundwater was apparent with higher extinction probabilities for sites not fed by groundwater. Colonization probabilities during this period were relatively low for both previously dry sites (range: 0.02–0.38) and previously wet sites (range: 0.02–0.43). In contrast, no sites dried or remained dry during the transition from dry to wet conditions, yielding lower but still substantial extinction probabilities (range: 0.16–0.63) and higher colonization probabilities (range: 0.06–0.86), with little difference among sites with and without groundwater. This approach of jointly modeling both habitat change and species occupancy will likely be useful to incorporate effects of dynamic habitat on metapopulation processes and to better inform appropriate conservation actions.","2012-04","2021-10-27 00:03:53","2021-10-27 00:03:53","2021-10-27 00:03:53","858-867","","4","93","","Ecology","Colonization and extinction in dynamic habitats","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/5MYYYAHN/Falke et al. - 2012 - Colonization and extinction in dynamic habitats a.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GQIMHTKQ","journalArticle","2000","Hugueny, B.; Cornell, H.V.","Predicting the relationship between local and regional species richness from a patch occupancy dynamics model","Journal of Animal Ecology","","0021-8790, 1365-2656","10.1046/j.1365-2656.2000.00377.x","http://doi.wiley.com/10.1046/j.1365-2656.2000.00377.x","","2000-03","2021-10-27 00:03:55","2021-10-27 00:03:55","2021-10-27 00:03:55","194-200","","2","69","","J Anim Ecology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/YX9WTZR6/Hugueny and Cornell - 2000 - Predicting the relationship between local and regi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69TBTE9C","journalArticle","2004","Tales, Evelyne; Keith, Philippe; Oberdorff, Thierry","Density-range size relationships in French riverine fishes","Oecologia","","0029-8549, 1432-1939","10.1007/s00442-003-1430-1","http://link.springer.com/10.1007/s00442-003-1430-1","We examined the relation between the local density of species and the size of the geographic range for French riverine fishes. As for most other taxonomic groups, a positive interspecific relationship is found for this group. This relationship is robust to the confounding effects of phylogeny and is not a priori a product of other potential mechanistic artefacts. We formally tested two of the principal biological mechanisms already proposed (i.e. the niche breadth hypothesis and the resource availability hypothesis). We found no support for the niche breadth hypothesis. In contrast, we found consistent support for the closely related resource availability hypothesis. Species utilising resources (habitats) that are marginal tend to appear at low density and to have narrow distribution whereas species utilising widespread habitats tend to be more abundant and more widely distributed. Using data on body size and reproductive traits we explored the potential influence of these variables in explaining significant variation around the density-range size relationship. Only body size explains significant variation around the relationship, being negatively correlated with local density and positively correlated with range size.","2004-02-01","2021-10-27 00:07:07","2021-10-27 00:07:07","2021-10-27 00:07:07","360-370","","3","138","","Oecologia","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/3P294YHN/Tales et al. - 2004 - Density-range size relationships in French riverin.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3YHFMKG6","journalArticle","2014","Ellis, Martha M.; Ivan, Jacob S.; Schwartz, Michael K.","Spatially Explicit Power Analyses for Occupancy‐Based Monitoring of Wolverine in the U.S. Rocky Mountains","Conservation Biology","","0888-8892, 1523-1739","10.1111/cobi.12139","https://onlinelibrary.wiley.com/doi/10.1111/cobi.12139","Conservation scientists and resource managers often have to design monitoring programs for species that are rare or patchily distributed across large landscapes. Such programs are frequently expensive and seldom can be conducted by one entity. It is essential that a prospective power analysis be undertaken to ensure stated monitoring goals are feasible. We developed a spatially based simulation program that accounts for natural history, habitat use, and sampling scheme to investigate the power of monitoring protocols to detect trends in population abundance over time with occupancy-based methods. We analyzed monitoring schemes with different sampling efforts for wolverine (Gulo gulo) populations in 2 areas of the U.S. Rocky Mountains. The relation between occupancy and abundance was nonlinear and depended on landscape, population size, and movement parameters. With current estimates for population size and detection probability in the northern U.S. Rockies, most sampling schemes were only able to detect large declines in abundance in the simulations (i.e., 50% decline over 10 years). For small populations reestablishing in the Southern Rockies, occupancy-based methods had enough power to detect population trends only when populations were increasing dramatically (e.g., doubling or tripling in 10 years), regardless of sampling effort. In general, increasing the number of cells sampled or the per-visit detection probability had a much greater effect on power than the number of visits conducted during a survey. Although our results are specific to wolverines, this approach could easily be adapted to other territorial species.","2014-02","2021-10-27 00:07:10","2021-10-27 00:07:10","2021-10-27 00:07:10","52-62","","1","28","","Conservation Biology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/4CB4YUPP/Ellis et al. - 2014 - Spatially Explicit Power Analyses for Occupancy‐Ba.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4YBJKEEY","journalArticle","2008","Cornell, H. V.; Karlson, R. H.; Hughes, T. P.","Local–regional species richness relationships are linear at very small to large scales in west-central Pacific corals","Coral Reefs","","0722-4028, 1432-0975","10.1007/s00338-007-0303-1","http://link.springer.com/10.1007/s00338-007-0303-1","If local communities are saturated with species, the relationship between local and regional species richness [the local species richness (LSR)–regional species richness (RSR) relationship] is predicted to become increasingly curvilinear at more local spatial scales. This study tested whether the LSR–RSR relationship for coral species was linear or curvilinear at three local scales across the west-central Paciﬁc Ocean, along a regional biodiversity gradient that includes the world’s most diverse coral assemblages. The local scales comprised transects 100–2 m apart, sites 103–4 m apart and islands 104–6 m apart. The LSR–RSR relationship was never signiﬁcantly different from linear at any scale. When the Chao1 estimator was used to predict true RSR and LSR, all relationships were also strongly linear. We conclude that local assemblages are open to regional inﬂuences even when the local scale is very small relative to the regional scale, and even in extraordinarily rich regions.","2008-03","2021-10-27 00:07:13","2021-10-27 00:07:13","2021-10-27 00:07:13","145-151","","1","27","","Coral Reefs","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/P2DVLF2M/Cornell et al. - 2008 - Local–regional species richness relationships are .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CQQTJLWM","journalArticle","2020","Mores, Guilherme Barradas; Schuler-Faccini, Lavinia; Hasenack, Heinrich; Fetzer, Liane Oliveira; Souza, Getúlio Dornelles; Ferraz, Gonçalo","Site Occupancy by Aedes aegypti in a Subtropical City is Most Sensitive to Control during Autumn and Winter Months","The American Journal of Tropical Medicine and Hygiene","","0002-9637, 1476-1645","10.4269/ajtmh.19-0366","https://ajtmh.org/doi/10.4269/ajtmh.19-0366","The Aedes aegypti mosquito inhabits most tropical and subtropical regions of the globe, where it transmits arboviral diseases of substantial public health relevance, such as dengue fever. In subtropical regions, Ae. aegypti often presents an annual abundance cycle driven by weather conditions. Because different population states may show varying responses to control, we are interested in studying what time of the year is most appropriate for control. To do so, we developed two dynamic site-occupancy models based on more than 200 weeks of mosquito trapping data from nearly 900 sites in a subtropical Brazilian city. Our phenomenological, Markovian models, ﬁtted to data in a Bayesian framework, accounted for failure to detect mosquitoes in two alternative ways and for temporal variation in dynamic rates of local extinction and colonization of new sites. Infestation varied from nearly full cover of the city area in late summer, to between 10% and 67% of sites occupied in winter depending on the model. Sensitivity analysis reveals that changes in dynamic rates should have the greatest impact on site occupancy during autumn and early winter months, when the mosquito population is declining. We discuss the implications of this ﬁnding to the timing of mosquito control.","2020-07-08","2021-10-27 00:07:15","2021-10-27 00:07:15","2021-10-27 00:07:15","445-454","","1","103","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/CRZZYV3Q/Mores et al. - 2020 - Site Occupancy by Aedes aegypti in a Subtropical C.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RZPP89X8","journalArticle","2014","Winchell, Clark S.; Doherty, Paul F.","Effects of habitat quality and wildfire on occupancy dynamics of Coastal California Gnatcatcher ( <i>Polioptila californica californica)</i>","The Condor","","0010-5422, 1938-5129","10.1650/CONDOR-13-156.1","https://academic.oup.com/condor/article/116/4/538-545/5153112","Habitat Conservation Plans (HCPs) are a mechanism used for conserving land and often have an umbrella species associated with them. We conducted occupancy surveys for an umbrella species, the Coastal California Gnatcatcher (Polioptila californica californica), from 2004 to 2009 in San Diego County, California, focusing on preserve lands associated with HCPs. We investigated the effects of habitat quality classification, elevation, distance to coast, and heat load on gnatcatcher occupancy, extinction, and colonization probabilities. Our work focused on these factors throughout the range of this species in San Diego County where, through conservation agreements, a preserve system has been assembled addressing management considerations at a landscape scale. In addition, a large wildfire in 2003 burned 17,044 ha, roughly 1/3 of preserve lands, thus we were able to investigate the recolonization process associated with this event. We found that occupancy increased with habitat quality and over time, but decreased with elevation. Extinction probability was generally constant (~0.13), but colonization varied greatly, with probabilities being greater in higher quality habitat and at lower elevations. Gnatcatchers were more likely to colonize burned areas adjacent to high and very high quality habitat, sites that should receive priority conservation actions, particularly at lower elevations. Our work suggests that umbrella species, like the California Gnatcatcher, may reflect not just habitat quality, but may also be useful indicators of recovery after an unexpected event such as fire. Although not perfect, the use of multiple umbrella species in HCPs may lead to effective conservation and management of biodiversity hotspots.","2014-11","2021-10-27 00:07:18","2021-10-27 00:07:18","2021-10-27 00:07:18","538-545","","4","116","","The Condor","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/XU4KY5JJ/Winchell and Doherty - 2014 - Effects of habitat quality and wildfire on occupan.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A6JYIUBN","journalArticle","2018","Hamer, Andrew J.","Accessible habitat and wetland structure drive occupancy dynamics of a threatened amphibian across a peri-urban landscape","Landscape and Urban Planning","","01692046","10.1016/j.landurbplan.2018.06.008","https://linkinghub.elsevier.com/retrieve/pii/S0169204618305164","Populations of aquatic-breeding amphibians are declining from habitat loss, fragmentation and degradation. Identifying how populations are aﬀected by landscape barriers such as roads is essential for conservation and requires understanding the processes underpinning species occupancy in fragmented landscapes. Here, I assessed relationships between the occupancy dynamics of the threatened green and golden bell frog (Litoria aurea) and accessible habitat; i.e., the area of breeding and non-breeding habitat around a wetland that can be reached by an amphibian without having to cross a highway. I hypothesised that relationships between occupancy and accessible habitat would be stronger than relationships with the area of extant native vegetation, road density or distance to the highway. I also examined relationships with local habitat variables over a three-year period. Relationships with accessible habitat were stronger and more certain in explaining L. aurea occupancy and colonisation than other landscape variables. Accessible habitat was positively associated with wetland occupancy, which suggests the highway is having a barrier eﬀect on the population. There was a positive relationship between road density and the probability of local extinction. Occupancy rates at highway compensatory ponds increased from near-zero within six months of pond construction, to > 30% after 12 months. There was a negative relationship between local extinction and aquatic vegetation cover, highlighting the importance of habitat structure for L. aurea. Urban planners should consider accessible habitat when managing amphibian species in rapidly urbanising landscapes, so that all habitats required throughout a species’ life cycle are protected.","2018-10","2021-10-27 00:09:11","2021-10-27 00:09:11","2021-10-27 00:09:11","228-237","","","178","","Landscape and Urban Planning","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/JEEAI68Q/Hamer - 2018 - Accessible habitat and wetland structure drive occ.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TU6TP7DL","journalArticle","2020","Bodner, Korryn; Fortin, Marie‐Josée; Molnár, Péter K.","Making predictive modelling ART: accurate, reliable, and transparent","Ecosphere","","2150-8925, 2150-8925","10.1002/ecs2.3160","https://onlinelibrary.wiley.com/doi/10.1002/ecs2.3160","Models are increasingly being used for prediction in ecological research. The ability to generate accurate and robust predictions is necessary to help respond to ecosystem change and to further scientiﬁc research. Successful predictive models are typically accurate, reliable, and transparent regarding their assumptions and expectations, indicating high predictive capacity, robustness, and clarity in their objectives and standards. Research on improving these properties is becoming more common, but often individual research projects are focused on a single aspect of the modelling process and are typically disseminated only within the ﬁeld where the research originated. The goal of this review is to synthesize research from various disciplines and topics to provide a coherent framework for developing efﬁcient predictive models. Our framework summarizes the process of creating predictive models into three main stages: (1) Framing the Question; (2) Model-Building and Testing; and (3) Uncertainty Evaluation with proposed strategies associated with each stage to help produce more successful predictive models. The key strategies identiﬁed within our framework form speciﬁc guidelines, providing a new perspective to help researchers make predictive modelling more accurate, reliable, and transparent.","2020-06","2021-10-27 00:14:21","2021-10-27 00:14:22","2021-10-27 00:14:21","","","6","11","","Ecosphere","Making predictive modelling ART","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/BGI4L9TZ/Bodner et al. - 2020 - Making predictive modelling ART accurate, reliabl.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
