Review_ID,StrataRank,Strata,Title,Year,Journal,Authors,Citations,DOI,KeyTerms,CitesMackenzie
2380,1,2004-2007,Amphibian populations in the terrestrial environment: Is there evidence of declines of terrestrial forest amphibians in northwestern California?,2007,JOURNAL OF HERPETOLOGY,"Welsh, Hartwell H., Jr.; Fellers, Gary M.; Lind, Amy J.",2,10.1670/0022-1511(2007)41[469:APITTE]2.0.CO;2,FALSE,TRUE
686,2,2004-2007,Spatial patterns of prisoner's dilemma game in metapopulations,2007,BULLETIN OF MATHEMATICAL BIOLOGY,"Hui, C.; McGeoch, M. A.",17,10.1007/s11538-006-9145-1,TRUE,FALSE
983,3,2004-2007,A model of neutralization of <i>Chlamydia trachomatis</i> based on antibody and host cell aggregation on the elementary body surface,2004,JOURNAL OF THEORETICAL BIOLOGY,"Wilson, DP; McElwain, DLS",10,10.1016/j.jtbi.2003.09.010,TRUE,FALSE
561,4,2004-2007,Range size-abundance relationships in Australian passerines,2006,GLOBAL ECOLOGY AND BIOGEOGRAPHY,"Symonds, MRE; Johnson, CN",21,10.1111/j.1466-822x.2005.00198.x,TRUE,FALSE
1773,5,2004-2007,"The roles of landscape context, niche breadth, and range boundaries in predicting species responses to habitat alteration",2006,DIVERSITY AND DISTRIBUTIONS,"Swihart, RK; Lusk, JJ; Duchamp, JE; Rizkalla, CE; Moore, JE",62,10.1111/j.1366-9516.2006.00242.x,FALSE,TRUE
166,6,2004-2007,Monitoring the distribution of pond-breeding amphibians when species are detected imperfectly,2005,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,"Schmidt, BR",59,10.1002/aqc.740,TRUE,TRUE
98,7,2004-2007,The role of fragment area and isolation in the conservation of heathland species,2005,BIOLOGICAL CONSERVATION,"Piessens, K; Honnay, O; Hermy, M",87,10.1016/j.biocon.2004.05.023,TRUE,FALSE
1838,8,2004-2007,Using sign at power poles to document presence of bears in Greece,2007,URSUS,"Karamanlidis, Alexandros A.; Youlatos, Dionisios; Sgardelis, Stefanos; Scouras, Zacharias",34,10.2192/1537-6176(2007)18[54:USAPPT]2.0.CO;2,FALSE,TRUE
2174,9,2004-2007,Survey techniques for determining occupancy of isolated wetlands by round-tailed muskrats,2005,SOUTHEASTERN NATURALIST,"Schooley, RL; Branch, LC",8,10.1656/1528-7092(2005)004[0745:STFDOO]2.0.CO;2,FALSE,TRUE
1,10,2004-2007,Designing occupancy studies: general advice and allocating survey effort,2005,JOURNAL OF APPLIED ECOLOGY,"Mackenzie, DI; Royle, JA",979,10.1111/j.1365-2664.2005.01098.x,TRUE,TRUE
158,11,2004-2007,Species dynamics in disturbed landscapes: When does a shifting habitat mosaic enhance connectivity?,2006,LANDSCAPE ECOLOGY,"Wimberly, MC",62,10.1007/s10980-005-7757-8,TRUE,FALSE
2303,12,2004-2007,Conceptual models as hypotheses in monitoring urban landscapes,2007,ENVIRONMENTAL MANAGEMENT,"Lookingbill, Todd R.; Gardner, Robert H.; Townsend, Philip A.; Carter, Shawn L.",4,10.1007/s00267-005-0246-7,FALSE,TRUE
128,13,2004-2007,Long-term spatial dynamics of <i>Succisa pratensis</i> in a changing rural landscape:: linking dynamical modelling with historical maps,2006,JOURNAL OF ECOLOGY,"Herben, T; Münzbergová, Z; Mildén, M; Ehrlén, J; Cousins, SAO; Eriksson, O",71,10.1111/j.1365-2745.2005.01063.x,TRUE,FALSE
342,14,2004-2007,Assessing risks to spotted owls from forest thinning in fire-adapted forests of the western United States,2005,FOREST ECOLOGY AND MANAGEMENT,"Lee, DC; Irwin, LL",35,10.1016/j.foreco.2005.02.001,TRUE,FALSE
649,15,2004-2007,Adaptation and propagule pressure determine invasion dynamics: insights from a spatially explicit model for sexually reproducing species,2005,EVOLUTIONARY ECOLOGY RESEARCH,"Travis, JMJ; Hammershoj, M; Stephenson, C",18,NA,TRUE,FALSE
1940,16,2004-2007,"A simple technique for trapping siren lacertina, <i>Amphiuma means</i>, and other aquatic vertebrates",2004,JOURNAL OF FRESHWATER ECOLOGY,"Johnson, SA; Barichivich, WJ",21,10.1080/02705060.2004.9664540,FALSE,TRUE
141,17,2004-2007,"Environmental heterogeneity, bird-mediated directed dispersal, and oak woodland dynamics in Mediterranean Spain",2007,ECOLOGICAL MONOGRAPHS,"Purves, Drew W.; Zavala, Miguel A.; Ogle, Kiona; Prieto, Fernando; Benayas, Jose M. Rey",68,10.1890/05-1923,TRUE,FALSE
1694,18,2004-2007,A large-scale deforestation experiment: Effects of patch area and isolation on Amazon birds,2007,SCIENCE,"Ferraz, Goncalo; Nichols, James D.; Hines, James E.; Stouffer, Philip C.; Bierregaard, Richard O., Jr.; Lovejoy, Thomas E.",230,10.1126/science.1133097,FALSE,TRUE
73,19,2004-2007,Using counts to simultaneously estimate abundance and detection probabilities in a salamander community,2004,HERPETOLOGICA,"Dodd, CK; Dorazio, RM",99,10.1655/03-60,TRUE,TRUE
1133,20,2004-2007,Identifying environmental determinants of diurnal distribution in marine birds and mammals,2006,BULLETIN OF MATHEMATICAL BIOLOGY,"Henson, SM; Hayward, JL; Damania, SP",7,10.1007/s11538-005-9009-0,TRUE,FALSE
360,21,2004-2007,META-X: generic software for metapopulation viability analysis,2004,BIODIVERSITY AND CONSERVATION,"Grimm, V; Lorek, H; Finke, J; Koester, F; Malachinski, M; Sonnenschein, M; Moilanen, A; Storch, I; Singer, A; Wissel, C; Frank, K",33,10.1023/B:BIOC.0000004317.42949.f7,TRUE,FALSE
725,22,2004-2007,Population viability and perturbation analyses in remnant populations of the Andean catfish <i>Astroblepus ubidiai</i>,2005,ECOLOGY OF FRESHWATER FISH,"Vélez-Espino, LA",16,10.1111/j.1600-0633.2005.00084.x,TRUE,FALSE
