Review_ID,StrataRank,Strata,Title,Year,Journal,Authors,Citations,DOI,KeyTerms,CitesMackenzie
98,1,2004-2007,Effects of patch quality and network structure on patch occupancy dynamics of a yellow-bellied marmot metapopulation,2006,JOURNAL OF ANIMAL ECOLOGY,"Ozgul, A; Armitage, KB; Blumstein, DT; Vanvuren, DH; Oli, MK",34,10.1111/j.1365-2656.2006.01038.x,TRUE,TRUE
984,2,2004-2007,Estimating abundance from detection-nondetection data for randomly distributed or aggregated elusive populations,2007,ECOGRAPHY,"Zhou, Shijie; Griffiths, Shane P.",15,10.1111/j.2007.0906-7590.05009.x,FALSE,TRUE
605,3,2004-2007,Review of capture-recapture methods applicable to noninvasive genetic sampling,2005,MOLECULAR ECOLOGY,"Lukacs, PM; Burnham, KP",193,10.1111/j.1365-294X.2005.02717.x,FALSE,TRUE
578,4,2004-2007,Guidelines for developing and updating Bayesian belief networks applied to ecological modeling and conservation,2006,CANADIAN JOURNAL OF FOREST RESEARCH,"Marcot, Bruce G.; Steventon, J. Douglas; Sutherland, Glenn D.; McCann, Robert K.",462,10.1139/X06-135,FALSE,TRUE
965,5,2004-2007,"Discovery and spatial assessment of a Hochstetter's frog (<i>Leiopelma hochstetteri</i>) population found in Maungatautari Scenic Reserve, New Zealand",2006,NEW ZEALAND JOURNAL OF ZOOLOGY,"Baber, Matthew; Moulton, Heather; Smuts-Kennedy, Chris; Gemmell, Neil; Crossland, Michael",16,10.1080/03014223.2006.9518439,FALSE,TRUE
671,6,2004-2007,"Status and trends in demography of northern spotted owls, 1985-2003",2006,WILDLIFE MONOGRAPHS,"Anthony, Robert G.; Forsman, Eric D.; Franklin, Alan B.; Anderson, David R.; Burnham, Kenneth P.; White, Gary C.; Schwarz, Carl J.; Nichols, James D.; Hines, James E.; Olson, Gail S.; Ackers, Steven H.; Andrews, Lawrence S.; Biswell, Brian L.; Carlson, Peter C.; Diller, Lowell V.; Dugger, Katie M.; Fehring, Katherine E.; Fleming, Tracy L.; Gerhardt, Richard P.; Gremel, Scott A.; Gutierrez, R. J.; Happe, Patti J.; Herter, Dale R.; Higley, J. Mark; Horn, Robert B.; Irwin, Larry L.; Loschl, Peter J.; Reid, Janice A.; Sovern, Stan G.",78,NA,FALSE,TRUE
390,7,2004-2007,Identifying environmental determinants of diurnal distribution in marine birds and mammals,2006,BULLETIN OF MATHEMATICAL BIOLOGY,"Henson, SM; Hayward, JL; Damania, SP",7,10.1007/s11538-005-9009-0,TRUE,FALSE
729,8,2004-2007,On the choice of statistical models for estimating occurrence and extinction from animal surveys,2007,ECOLOGY,"Dorazio, Robert M.",45,10.1890/07-0006.1,FALSE,TRUE
872,9,2004-2007,"Old dog, new tricks: Innovations with presence-absence information",2005,JOURNAL OF WILDLIFE MANAGEMENT,"Vojta, CD",22,10.2193/0022-541X(2005)069[0845:ODNTIW]2.0.CO;2,FALSE,TRUE
1,10,2004-2007,A Bayesian state-space formulation of dynamic occupancy models,2007,ECOLOGY,"Royle, J. Andrew; Kery, Marc",334,10.1890/06-0669.1,TRUE,FALSE
625,11,2004-2007,Colonization-extinction dynamics of an epiphyte metapopulation in a dynamic landscape,2005,ECOLOGY,"Snäll, T; Ehrlén, J; Rydin, H",131,10.1890/04-0531,FALSE,TRUE
28,12,2004-2007,The interplay of positive and negative species interactions across an environmental gradient: insights from an individual-based simulation model,2005,BIOLOGY LETTERS,"Travis, JMJ; Brooker, RW; Dytham, C",91,10.1098/rsbl.2004.0236,TRUE,FALSE
587,13,2004-2007,Making great leaps forward: Accounting for detectability in herpetological field studies,2007,JOURNAL OF HERPETOLOGY,"Mazerolle, Marc J.; Bailey, Larissa L.; Kendall, William L.; Royle, J. Andrew; Converse, Sarah J.; Nichols, James D.",282,10.1670/07-061.1,FALSE,TRUE
596,14,2004-2007,"Modeling the probability of resource use: The effect of, and dealing with, detecting a species imperfectly",2006,JOURNAL OF WILDLIFE MANAGEMENT,"MacKenzie, Darryl I.",235,10.2193/0022-541X(2006)70[367:MTPORU]2.0.CO;2,FALSE,TRUE
1216,15,2004-2007,An evaluation of methods for assessing the population status of the threatened Alpine Tree Frog <i>Litoria verreauxii alpina</i> in southeastern Australia,2007,COPEIA,"Brown, Geoff W.; Scroggie, Michael P.; Smith, Michael J.; Steane, David",6,10.1643/0045-8511(2007)2007[765:AEOMFA]2.0.CO;2,FALSE,TRUE
728,16,2004-2007,Patch-occupancy models indicate human activity as major determinant of forest elephant <i>Loxodonta cyclotis</i> seasonal distribution in an industrial corridor in Gabon,2007,BIOLOGICAL CONSERVATION,"Buij, Ralph; McShea, William J.; Campbell, Patrick; Lee, Michelle E.; Dallmeier, Francisco; Guimondou, Sylvain; Mackaga, Loic; Guisseougou, Nicaise; Mboumba, Serge; Hines, James E.; Nichols, James D.; Alonso, Alfonso",46,10.1016/j.biocon.2006.10.028,FALSE,TRUE
597,17,2004-2007,A large-scale deforestation experiment: Effects of patch area and isolation on Amazon birds,2007,SCIENCE,"Ferraz, Goncalo; Nichols, James D.; Hines, James E.; Stouffer, Philip C.; Bierregaard, Richard O., Jr.; Lovejoy, Thomas E.",230,10.1126/science.1133097,FALSE,TRUE
1018,18,2004-2007,Gamebird vulnerability to forest fragmentation:: patch occupancy of the crested guineafowl (<i>Guttera edouardi</i>) in Afromontane forests,2006,ANIMAL CONSERVATION,"Lawes, MJ; Fly, S; Piper, SE",13,10.1111/j.1469-1795.2005.00006.x,FALSE,TRUE
114,19,2004-2007,Modelling the spatial dynamics and persistence of the leaf beetle <i>Gonioctena olivacea</i> in dynamic habitats,2004,OIKOS,"Biedermann, R",31,10.1111/j.0030-1299.2004.13358.x,TRUE,FALSE
723,20,2004-2007,Habitat selection in a changing environment:: The relationship between habitat alteration and spotted owl territory occupancy and breeding dispersal,2007,CONDOR,"Seamans, Mark E.; Gutierrez, R. J.",48,10.1650/8352.1,FALSE,TRUE
1001,21,2004-2007,"Estimating site occupancy and detectability of an endangered New Zealand lizard, the Otago skink (<i>Oligosoma otagense</i>)",2006,WILDLIFE RESEARCH,"Roughton, Catherine M.; Seddon, Philip J.",14,10.1071/WR05045,FALSE,TRUE
682,22,2004-2007,The ghost of past species occurrence: improving species distribution models for presence-only data,2006,JOURNAL OF APPLIED ECOLOGY,"Lutolf, M; Kienast, F; Guisan, A",71,10.1111/j.1365-2664.2006.01191.x,FALSE,TRUE
10,23,2004-2007,Sampling design trade-offs in occupancy studies with imperfect detection: Examples and software,2007,ECOLOGICAL APPLICATIONS,"Bailey, Larissa L.; Hines, James E.; Nichols, James D.; MacKenzie, Darryl I.",187,10.1890/1051-0761(2007)017[0281:SDTIOS]2.0.CO;2,TRUE,TRUE
581,24,2004-2007,Investigating species co-occurrence patterns when species are detected imperfectly,2004,JOURNAL OF ANIMAL ECOLOGY,"MacKenzie, DI; Bailey, LL; Nichols, JD",328,10.1111/j.0021-8790.2004.00828.x,FALSE,TRUE
619,25,2004-2007,Occupancy estimation and modeling with multiple states and state uncertainty,2007,ECOLOGY,"Nichols, James D.; Hines, James E.; MacKenzie, Darryl I.; Seamans, Mark E.; Gutierrez, R. J.",152,10.1890/06-1474,FALSE,TRUE
750,26,2004-2007,"Improving the efficiency of wildlife monitoring by estimating detectability:: a case study of foxes (<i>Vulpes vulpes</i>) on the Eyre Peninsula, South Australia",2005,WILDLIFE RESEARCH,"Field, SA; Tyre, AJ; Thorn, KH; O'Connor, PJ; Possingham, HP",40,10.1071/WR05010,FALSE,TRUE
70,27,2004-2007,Spatial dynamics of an invasive bird species assessed using robust design occupancy analysis:: the case of the Eurasian collared dove (<i>Streptopelia decaocto</i>) in France,2007,JOURNAL OF BIOGEOGRAPHY,"Eraud, Cyril; Boutin, Jean-Marie; Roux, Denis; Faivre, Bruno",48,10.1111/j.1365-2699.2006.01673.x,TRUE,TRUE
641,28,2004-2007,Richness and distribution of sponge megabenthos in continental margin canyons off southeastern Australia,2007,MARINE ECOLOGY PROGRESS SERIES,"Schlacher, Thomas A.; Schlacher-Hoenlinger, Monika A.; Williams, Alan; Althaus, Franziska; Hooper, John N. A.; Kloser, Rudy",107,10.3354/meps340073,FALSE,TRUE
825,29,2004-2007,Preliminary study of the effects of headwater riparian reserves with upslope thinning on stream habitats and amphibians in western Oregon,2007,FOREST SCIENCE,"Olson, Deanna H.; Rugger, Cynthia",27,NA,FALSE,TRUE
576,30,2004-2007,Zero tolerance ecology: improving ecological inference by modelling the source of zero observations,2005,ECOLOGY LETTERS,"Martin, TG; Wintle, BA; Rhodes, JR; Kuhnert, PM; Field, SA; Low-Choy, SJ; Tyre, AJ; Possingham, HP",690,10.1111/j.1461-0248.2005.00826.x,FALSE,TRUE
19,31,2004-2007,SPOMSIM: software for stochastic patch occupancy models of metapopulation dynamics,2004,ECOLOGICAL MODELLING,"Moilanen, A",111,10.1016/j.ecolmodel.2004.04.019,TRUE,FALSE
754,32,2004-2007,A rapid approach to modeling species-habitat relationships,2006,BIOLOGICAL CONSERVATION,"Carter, GM; Stolen, ED; Breininger, DR",39,10.1016/j.biocon.2005.08.012,FALSE,TRUE
796,33,2004-2007,Detection probabilities and site occupancy estimates for amphibians at Okefenokee National Wildlife Refuge,2006,AMERICAN MIDLAND NATURALIST,"Smith, LL; Barichivich, WJ; Staiger, JS; Smith, KG; Dodd, CK",30,10.1674/0003-0031(2006)155[0149:DPASOE]2.0.CO;2,FALSE,TRUE
1260,34,2004-2007,A note on simplifying likelihoods for site occupancy models,2007,BIOMETRICS,"Morgan, Byron J. T.; Revell, David J.; Freeman, Stephen N.",5,10.1111/j.1541-0420.2006.00724.x,FALSE,TRUE
583,35,2004-2007,Generalized site occupancy models allowing for false positive and false negative errors,2006,ECOLOGY,"Royle, JA; Link, WA",293,10.1890/0012-9658(2006)87[835:GSOMAF]2.0.CO;2,FALSE,TRUE
47,36,2004-2007,Species dynamics in disturbed landscapes: When does a shifting habitat mosaic enhance connectivity?,2006,LANDSCAPE ECOLOGY,"Wimberly, MC",62,10.1007/s10980-005-7757-8,TRUE,FALSE
42,37,2004-2007,Cane toads reduce the abundance and site occupancy of Merten's water monitor (<i>Varanus mertensi</i>),2007,WILDLIFE RESEARCH,"Griffiths, Anthony D.; Mckay, J. Lindley",66,10.1071/WR07024,TRUE,TRUE
575,38,2004-2007,Designing occupancy studies: general advice and allocating survey effort,2005,JOURNAL OF APPLIED ECOLOGY,"Mackenzie, DI; Royle, JA",979,10.1111/j.1365-2664.2005.01098.x,FALSE,TRUE
337,39,2004-2007,The contribution of patch topology and demographic parameters to population viability analysis predictions: the case of the European tree frog,2006,POPULATION ECOLOGY,"Pellet, Jerome; Maze, Gerard; Perrin, Nicolas",10,10.1007/s10144-006-0003-7,TRUE,FALSE
870,40,2004-2007,"Monitoring mammals in the Caxiuanu National Forest, Brazil - First results from the Tropical Ecology, Assessment and Monitoring (TEAM) program",2007,BIODIVERSITY AND CONSERVATION,"de Souza Martins, Simone; Sanderson, James G.; de Sousa e Silva-Junior, Jose",22,10.1007/s10531-006-9094-x,FALSE,TRUE
37,41,2004-2007,An empirical evaluation of the area and isolation paradigm of metapopulation dynamics,2007,BIOLOGICAL CONSERVATION,"Pellet, Jerome; Fleishman, Erica; Dobkin, David S.; Gander, Antoine; Murphy, Dennis D.",76,10.1016/j.biocon.2006.12.020,TRUE,TRUE
1065,42,2004-2007,"Retrospective Comparison of the Occurrence and Abundance of Rusty Blackbird in the Mackenzie Valley, Northwest Territories",2007,AVIAN CONSERVATION AND ECOLOGY,"Machtans, Craig S.; Van Wilgenburg, Steven L.; Armer, Lindsay A.; Hobson, Keith A.",11,NA,FALSE,TRUE
1150,43,2004-2007,Intra-guild compensation regulates species richness in desert rodents: Comment,2006,ECOLOGY,"Nichols, James D.; Hines, James E.; Sauer, John R.; Boulinier, Thierry; Cam, Emmanuelle",8,10.1890/0012-9658(2006)87[2118:ICRSRI]2.0.CO;2,FALSE,TRUE
773,44,2004-2007,Using sign at power poles to document presence of bears in Greece,2007,URSUS,"Karamanlidis, Alexandros A.; Youlatos, Dionisios; Sgardelis, Stefanos; Scouras, Zacharias",34,10.2192/1537-6176(2007)18[54:USAPPT]2.0.CO;2,FALSE,TRUE
3,45,2004-2007,What are the issues with presence-absence data for wildlife managers?,2005,JOURNAL OF WILDLIFE MANAGEMENT,"MacKenzie, DI",300,10.2193/0022-541X(2005)069[0849:WATIWP]2.0.CO;2,TRUE,TRUE
812,46,2004-2007,Control theory and the management of ecosystems,2006,JOURNAL OF APPLIED ECOLOGY,"Loehle, Craig",28,10.1111/j.1365-2664.2006.01208.x,FALSE,TRUE
642,47,2004-2007,Landscape characteristics influence pond occupancy by frogs after accounting for detectability,2005,ECOLOGICAL APPLICATIONS,"Mazerolle, MJ; Desrochers, A; Rochefort, L",104,10.1890/04-0502,FALSE,TRUE
