Sample,Review_ID,Title,Group,OverallRank,GroupRank,ToRead
Second,1479,Using counts to simultaneously estimate abundance and detection probabilities in a salamander community,MacKenzie Cited_2000:2005,18,1,YES
Second,1481,"Declining amphibian populations: The pitfalls of count data in the study of diversity, distributions, dynamics, and demography",MacKenzie Cited_2000:2005,37,2,YES
Second,1461,Influence of the temporal resolution of data on the success of indicator species models of species richness across multiple taxonomic groups,MacKenzie Cited_2000:2005,78,3,YES
Second,1455,Modeling spatial trends in estimated species richness using breeding bird survey data: A valuable tool in biodiversity assessment,MacKenzie Cited_2000:2005,204,4,YES
Second,1467,A field-based evaluation of a presence-absence protocol for monitoring ecoregional-scale biodiversity,MacKenzie Cited_2000:2005,284,5,YES
Second,1469,"Monitoring distributions using call surveys: estimating site occupancy, detection probabilities and inferring absence",MacKenzie Cited_2000:2005,366,6,YES
Second,1483,Investigating species co-occurrence patterns when species are detected imperfectly,MacKenzie Cited_2000:2005,452,7,YES
Second,1464,What are the issues with presence-absence data for wildlife managers?,MacKenzie Cited_2000:2005,474,8,YES
Second,1462,Modelling occurrence and abundance of species when detection is imperfect,MacKenzie Cited_2000:2005,545,9,YES
Second,1457,Monitoring the distribution of pond-breeding amphibians when species are detected imperfectly,MacKenzie Cited_2000:2005,548,10,YES
Second,1472,Was it there? Dealing with imperfect detection for species presence/absence data,MacKenzie Cited_2000:2005,550,11,YES
Second,1465,Estimating and dealing with detectability in occupancy surveys for forest owls and arboreal marsupials,MacKenzie Cited_2000:2005,586,12,YES
Second,1473,"Disparity between range map- and survey-based analyses of species richness: patterns, processes and implications",MacKenzie Cited_2000:2005,631,13,YES
Second,1456,Designing occupancy studies: general advice and allocating survey effort,MacKenzie Cited_2000:2005,703,14,YES
Second,1478,A comprehensive approach to identifying monitoring priorities of small landbirds on military installations,MacKenzie Cited_2000:2005,725,15,YES
Second,1477,"Improving the efficiency of wildlife monitoring by estimating detectability: a case study of foxes (Vulpes vulpes) on the Eyre Peninsula, South Australia",MacKenzie Cited_2000:2005,765,16,NO
