Covariate,Category,Prop_Any,Colonisation,Extinction_Persistence,Detection,Initial occupancy,Occupancy,Prop_Dynamic,Prop_Direct,Prop_Nonlinear,Prop_Interact
SPAT,E,0.35,0.33,0.3,0.11,0.22,0.31,0.3,0.39,0.22,0.25
HABT,E,0.55,0.43,0.46,0.28,0.41,0.25,0.24,0.33,0.12,0.25
OBSE,S,0.24,0,0,0.24,0,0,0.93,0.07,0.08,0.04
SPEC,S,0.02,0.02,0.02,0.01,0.02,0,0,0,0,0.5
HYDR,E,0.14,0.14,0.11,0.04,0.08,0.25,0.37,0.33,0.29,0.21
PHEN,E,0.33,0.05,0.04,0.33,0.01,0,1,0,0.41,0.09
CLWE,E,0.33,0.18,0.18,0.24,0.13,0.12,0.77,0.35,0.32,0.26
OTHER-E,E,0.21,0.04,0.1,0.13,0.05,0.19,0.71,0.78,0,0
SEAS,S,0.65,0.39,0.38,0.61,0.01,0.44,0.99,0,0.15,0.08
SITE,S,0.03,0.02,0.02,0.02,0,0,0,0,0,0
TOPO,E,0.21,0.13,0.14,0.06,0.18,0.25,0,0.07,0.29,0.1
ANTH,E,0.25,0.23,0.21,0.06,0.2,0.06,0.11,0.08,0.12,0.2
SURV,S,0.15,0,0,0.15,0,0,1,0.1,0.13,0
BIOT,E,0.15,0.14,0.14,0.05,0.07,0,0.59,0.64,0.07,0.2
OTHER-S,S,0.03,0,0,0.02,0.01,0,0.33,0.33,0,0.33
Environmental,E,0.91,0.74,0.73,0.7,0.62,0.94,0.43,0.3,0.33,0.26
Structural,S,0.81,0.41,0.4,0.8,0.03,0.44,0.94,0.04,0.16,0.08
Overall,O,0.99,0.85,0.85,0.97,0.63,1,0.54,0.2,0.35,0.24
