"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JFB66G4T","journalArticle","2017","Peach, Michelle A.; Cohen, Jonathan B.; Frair, Jacqueline L.","Single-visit dynamic occupancy models: an approach to account for imperfect detection with Atlas data","Journal of Applied Ecology","","00218901","10.1111/1365-2664.12925","https://onlinelibrary.wiley.com/doi/10.1111/1365-2664.12925","","2017-12","2021-10-27 00:46:33","2021-10-27 00:46:33","2021-10-27 00:46:33","2033-2042","","6","54","","J Appl Ecol","Single-visit dynamic occupancy models","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/7U4CVC8A/Peach et al. - 2017 - Single-visit dynamic occupancy models an approach.pdf","","","","Tulloch, Ayesha","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2BE82UGS","report","2020","Kleiven, Eivind Flittie; Barraquand, Frederic; Gimenez, Olivier; Henden, John-André; Ims, Rolf Anker; Soininen, Eeva M.; Yoccoz, Nigel Gilles","A dynamic occupancy model for interacting species with two spatial scales","","","","","http://biorxiv.org/lookup/doi/10.1101/2020.12.16.423067","1           Abstract           Occupancy models have been developed independently to account for multiple spatial scales and species interactions in a dynamic setting. However, as interacting species (e.g., predators and prey) often operate at different spatial scales, including nested spatial structure might be especially relevant in models of interacting species. Here we bridge these two model frameworks by developing a multi-scale two-species occupancy model. The model is dynamic, i.e. it estimates initial occupancy, colonization and extinction probabilities - including probabilities conditional to the other species’ presence. With a simulation study, we demonstrate that the model is able to estimate parameters without bias under low, medium and high average occupancy probabilities, as well as low, medium and high detection probabilities. We further show the model’s ability to deal with sparse field data by applying it to a multi-scale camera trapping dataset on a mustelid-rodent predator-prey system. The field study illustrates that the model allows estimation of species interaction effects on colonization and extinction probabilities at two spatial scales. This creates opportunities to explicitly account for the spatial structure found in many spatially nested study designs, and to study interacting species that have contrasted movement ranges with camera traps.","2020-12-16","2021-10-27 00:46:34","2021-10-27 00:46:34","2021-10-27 00:46:34","","","","","","","","","","","","Ecology","","en","","preprint","","","DOI.org (Crossref)","","DOI: 10.1101/2020.12.16.423067","","/Users/kelleherj/Zotero/storage/AXE6RJPN/Kleiven et al. - 2020 - A dynamic occupancy model for interacting species .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M6W4VIKS","journalArticle","2019","Fidino, Mason; Simonis, Juniper L.; Magle, Seth B.","A multistate dynamic occupancy model to estimate local colonization–extinction rates and patterns of co‐occurrence between two or more interacting species","Methods in Ecology and Evolution","","2041-210X, 2041-210X","10.1111/2041-210X.13117","https://onlinelibrary.wiley.com/doi/10.1111/2041-210X.13117","","2019-02","2021-10-27 00:46:37","2021-10-27 00:46:37","2021-10-27 00:46:37","233-244","","2","10","","Methods Ecol Evol","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/8E2PFZ7T/Fidino et al. - 2019 - A multistate dynamic occupancy model to estimate l.pdf","","","","O’Hara, Robert B.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EXVTN9YU","journalArticle","","Joseph, Maxwell B","Neural hierarchical models of ecological populations","","","","","","Neural networks are increasingly being used in science to infer hidden dynamics of natural systems from noisy observations, a task typically handled by hierarchical models in ecology. This paper describes a class of hierarchical models parameterized by neural networks: neural hierarchical models. The derivation of such models analogizes the relationship between regression and neural networks. A case study is developed for a neural dynamic occupancy model of North American bird populations, trained on millions of detection/non-detection time series for hundreds of species, providing insights into colonization and extinction at a continental scale. Flexible models are increasingly needed that scale to large data and represent ecological processes. Neural hierarchical models satisfy this need, providing a bridge between deep learning and ecological modeling that combines the function representation power of neural networks with the inferential capacity of hierarchical models.","","2021-10-27 00:46:42","2021-10-27 00:46:42","","44","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/kelleherj/Zotero/storage/L3D9WR2M/Joseph - Neural hierarchical models of ecological populatio.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PH4R6JZ6","journalArticle","","Kleiven, Eivind Flittie; Barraquand, Frederic; Gimenez, Olivier; Henden, John-Andre; Ims, Rolf Anker; Soininen, Eeva M; Yoccoz, Nigel Gilles","Appendix S1: A dynamic occupancy model for interacting species with two spatial scales","","","","","","","","2021-10-27 00:46:43","2021-10-27 00:46:43","","8","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/kelleherj/Zotero/storage/Y7GS9VF2/Kleiven et al. - Appendix S1 A dynamic occupancy model for interac.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BD4GML47","journalArticle","2017","Khelifa, Rassim; Zebsa, Rabah; Amari, Hichem; Mellal, Mohammed Khalil; Bensouilah, Soufyane; Laouar, Abdeldjalil; Mahdjoub, Hayat","Unravelling the drastic range retraction of an emblematic songbird of North Africa: potential threats to Afro-Palearctic migratory birds","Scientific Reports","","2045-2322","10.1038/s41598-017-01103-w","http://www.nature.com/articles/s41598-017-01103-w","","2017-12","2021-10-27 00:46:46","2021-10-27 00:46:46","2021-10-27 00:46:46","1092","","1","7","","Sci Rep","Unravelling the drastic range retraction of an emblematic songbird of North Africa","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/4XEEYWNS/Khelifa et al. - 2017 - Unravelling the drastic range retraction of an emb.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TS3EUFDI","journalArticle","2021","Vasudev, Divya; Goswami, Varun R.; Oli, Madan K.","Detecting dispersal: A spatial dynamic occupancy model to reliably quantify connectivity across heterogeneous conservation landscapes","Biological Conservation","","00063207","10.1016/j.biocon.2020.108874","https://linkinghub.elsevier.com/retrieve/pii/S0006320720309320","Connectivity shapes species distribution, spatial population dynamics and genetic structure, and is critical for conservation. It is imperative to reliably identify factors that limit connectivity across heterogeneous, fragmented landscapes. Viewing connectivity as the persistence of movement in space from source to destination—along potential corridors simulated from correlated random walks—we adapt the dynamic occupancy modeling framework to present an approach to reliably quantify connectivity. This approach allowed us to estimate the probability of spatial persistence of movement along potential corridors, while accounting for imperfect detec­ tion of animal use of the matrix. We use simulations to test our model, and data from sign surveys of Asian elephant Elephas maximus space use in Garo Hills, Northeast India, as a practical application of the method. Distance to forests and ruggedness predominantly shaped elephant connectivity patterns. Negative effects of distance to forests were intensified at the onset of dispersal, and in the more disturbed part of our landscape. We mapped locations critical to maintaining connectivity in our study landscape. We demonstrate that the widely used occupancy modeling approach, when combined with appropriate field data collection, permits explicit assessment of matrix impacts on connectivity while accounting for imperfect detection of animal movement. In so doing, we highlight the value of the approach in enabling inference on where animals move, as well as why. Obtaining a reliable understanding of factors shaping connectivity is central to understanding and predicting species responses to environmental change, thereby facilitating effective long-term conservation in fragmented landscapes.","2021-01","2021-10-27 00:46:49","2021-10-27 00:46:49","2021-10-27 00:46:49","108874","","","253","","Biological Conservation","Detecting dispersal","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/LGM3YAGQ/Vasudev et al. - 2021 - Detecting dispersal A spatial dynamic occupancy m.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DEL9HWVN","journalArticle","","Zhang, Xinyu","A DYNAMIC OCCUPANCY MODEL FOR MULTIPLE SPECIES IN SERENGETI NATIONAL PARK","","","","","","","","2021-10-27 00:46:50","2021-10-27 00:46:50","","75","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/kelleherj/Zotero/storage/FTVNKI7L/Zhang - A DYNAMIC OCCUPANCY MODEL FOR MULTIPLE SPECIES IN .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8UXMZPU3","journalArticle","2019","Zylstra, Erin R.; Swann, Don E.; Hossack, Blake R.; Muths, Erin; Steidl, Robert J.","Drought‐mediated extinction of an arid‐land amphibian: insights from a spatially explicit dynamic occupancy model","Ecological Applications","","1051-0761, 1939-5582","10.1002/eap.1859","https://onlinelibrary.wiley.com/doi/10.1002/eap.1859","Understanding how natural and anthropogenic processes affect population dynamics of species with patchy distributions is critical to predicting their responses to environmental changes. Despite considerable evidence that demographic rates and dispersal patterns vary temporally in response to an array of biotic and abiotic processes, few applications of metapopulation theory have sought to explore factors that explain spatiotemporal variation in extinction or colonization rates. To facilitate exploring these factors, we extended a spatially explicit model of metapopulation dynamics to create a framework that requires only binary presence–absence data, makes few assumptions about the dispersal process, and accounts for imperfect detection. We apply this framework to 22 yr of biannual survey data for lowland leopard frogs, Lithobates yavapaiensis, an amphibian that inhabits arid stream systems in the southwestern United States and northern Mexico. Our results highlight the importance of accounting for factors that govern temporal variation in transition probabilities, as both extinction and colonization rates varied with hydrologic conditions. Specifically, local extinctions were more frequent during drought periods, particularly at sites without reliable surface water. Colonization rates increased when larval and dispersal periods were wetter than normal, which increased the probability that potential emigrants metamorphosed and reached neighboring sites. Extirpation of frogs from all sites in one watershed during a period of severe drought demonstrated the influence of site-level features, as frogs persisted only in areas where most sites held water consistently and where the amount of sediment deposited from high-elevation wildfires was low. Application of our model provided novel insights into how climaterelated processes affected the distribution and population dynamics of an arid-land amphibian. The approach we describe has application to a wide array of species that inhabit patchy environments, can improve our understanding of factors that govern metapopulation dynamics, and can inform strategies for conservation of imperiled species.","2019-04","2021-10-27 00:46:53","2021-10-27 00:46:53","2021-10-27 00:46:53","","","3","29","","Ecol Appl","Drought‐mediated extinction of an arid‐land amphibian","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/AHTAKD5Z/Zylstra et al. - 2019 - Drought‐mediated extinction of an arid‐land amphib.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QWLFKKGJ","journalArticle","2014","Santika, Truly; McAlpine, Clive A.; Lunney, Daniel; Wilson, Kerrie A.; Rhodes, Jonathan R.","Modelling species distributional shifts across broad spatial extents by linking dynamic occupancy models with public-based surveys","Diversity and Distributions","","13669516","10.1111/ddi.12189","https://onlinelibrary.wiley.com/doi/10.1111/ddi.12189","Aim To understand climate and landscape drivers of species distributional shifts across broad spatial extents by integrating dynamic occupancy models with distribution data collected from the public.","2014-07","2021-10-27 00:48:52","2021-10-27 00:48:52","2021-10-27 00:48:52","786-796","","7","20","","Diversity Distrib.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/NRA4PRR5/Santika et al. - 2014 - Modelling species distributional shifts across bro.pdf","","","","Thuiller, Wilfried","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
