"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"HJ6RDH49","journalArticle","2004","Moilanen, Atte","SPOMSIM: software for stochastic patch occupancy models of metapopulation dynamics","Ecological Modelling","","03043800","10.1016/j.ecolmodel.2004.04.019","https://linkinghub.elsevier.com/retrieve/pii/S0304380004002790","Classical metapopulations are groups of local populations living in networks of spatially distinct habitat patches in a balance between local extinctions and recolonizations of empty habitat. Models are needed for understanding and predicting metapopulation dynamics in changing landscapes. One particularly important question is what is the effect of habitat loss to the persistence of a metapopulation. A class of metapopulation models that have been successfully used in practical applications are called stochastic patch occupancy models (SPOMs), which model the presence/absence of the species on habitat patches as a Markov chain. The presence–absence assumption makes the model relatively parameter sparse, facilitates empirical data collection, and enables rigorous parameter estimation. This study reviews theory of SPOMs and describes a computational tool, called SPOMSIM, which allows one to simulate SPOMs and estimate parameters for them. SPOMSIM offers a range of choices for submodels; alternatives are provided for the functional forms of local extinction, the dispersal kernel, computation of connectivity, the colonization function, the implementation of the rescue effect and the implementation of regional stochasticity. SPOMSIM includes also, among other things, a utility based on hierarchical clustering for the analysis of the structure of a patch network, a reserve network optimization algorithm, and a patch system editor which makes it possible to investigate the consequences of changes in landscape structure. Potential uses for SPOMSIM include scientiﬁc metapopulation studies, teaching and conservation management.","2004-12","2021-10-27 04:28:44","2021-10-27 04:28:44","2021-10-27 04:28:44","533-550","","4","179","","Ecological Modelling","SPOMSIM","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/ZSZW2IID/Moilanen - 2004 - SPOMSIM software for stochastic patch occupancy m.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7CDBH4IS","journalArticle","2012","Ben-Zion, Yossi; Shnerb, Nadav M.","Coherence, conservation and patch-occupancy analysis","Oikos","","00301299","10.1111/j.1600-0706.2011.19991.x","https://onlinelibrary.wiley.com/doi/10.1111/j.1600-0706.2011.19991.x","Spatial coherence (synchrony) among subpopulations poses a danger to the metacommunity, as it increases the risk of regional extinction. When this effect is significant, the use of inference technique based on the stochastic patch occupancy model (SPOM) may be inadequate, since SPOMs assume that each habitat patch is either occupied or empty and neglect the intra-patch dynamics. Here we suggest a general classification of the dynamics that allows one to identify, in a model-independent way, the regimes where coherence effects are strong. We also present a new technique, based on patch occupancy (presence/absence) data, to identify the role of spatial coherence in the stabilization of a metapopulation and to give an early warning against the possibility of regional-scale extinction. When this scenario occurs a decrease in the movement of individuals (habitat fragmentation, reduced dispersal rates) has a positive effect on the sustainability of the spatially distributed population. The results of individual based simulations of a spatially structured population are analyzed with SPOM and the regime where the two-state approximation is fails is identified.","2012-06","2021-10-27 04:28:46","2021-10-27 04:28:46","2021-10-27 04:28:46","985-997","","6","121","","Oikos","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/HDENXWYQ/Ben-Zion and Shnerb - 2012 - Coherence, conservation and patch-occupancy analys.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XFW6AJYH","journalArticle","2013","McVinish, R.; Pollett, P. K.","The limiting behaviour of a stochastic patch occupancy model","Journal of Mathematical Biology","","0303-6812, 1432-1416","10.1007/s00285-012-0568-z","http://link.springer.com/10.1007/s00285-012-0568-z","Metapopulation models have been used to better understand the conditions necessary for the persistence of the metapopulation. In this paper, we study a stochastic patch occupancy model that incorporates variation in quality and connectivity of the habitat patches. Two important assumptions are imposed in our analysis. Firstly, the distance between patches has a special form. This amounts to assuming that migrating individuals follow certain pathways. Secondly, the area of the habitat patches is assumed to scale with the number of patches in the metapopulation. Under these assumptions, a deterministic limit is obtained as the number of patches goes to inﬁnity. Using the deterministic limiting process, a condition for persistence of the metapopulation is derived.","2013-09","2021-10-27 04:28:49","2021-10-27 04:28:49","2021-10-27 04:28:49","693-716","","3","67","","J. Math. Biol.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/RSFME9HR/McVinish and Pollett - 2013 - The limiting behaviour of a stochastic patch occup.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZKF5XF5M","journalArticle","2006","Ozgul, Arpat; Armitage, Kenneth B.; Blumstein, Daniel T.; Vanvuren, Dirk H.; Oli, Madan K.","Effects of patch quality and network structure on patch occupancy dynamics of a yellow-bellied marmot metapopulation","Journal of Animal Ecology","","0021-8790, 1365-2656","10.1111/j.1365-2656.2006.01038.x","https://onlinelibrary.wiley.com/doi/10.1111/j.1365-2656.2006.01038.x","","2006-01","2021-10-27 04:28:52","2021-10-27 04:28:52","2021-10-27 04:28:52","191-202","","1","75","","J Anim Ecology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/7JXN2WVC/Ozgul et al. - 2006 - Effects of patch quality and network structure on .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LKTTDU9B","journalArticle","2015","Graham, Laura J.; Haines-Young, Roy H.; Field, Richard","Using citizen science data for conservation planning: Methods for quality control and downscaling for use in stochastic patch occupancy modelling","Biological Conservation","","00063207","10.1016/j.biocon.2015.09.002","https://linkinghub.elsevier.com/retrieve/pii/S0006320715300951","","2015-12","2021-10-27 04:28:55","2021-10-27 04:28:55","2021-10-27 04:28:55","65-73","","","192","","Biological Conservation","Using citizen science data for conservation planning","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/XVC453NZ/Graham et al. - 2015 - Using citizen science data for conservation planni.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UFE9BJBU","journalArticle","2005","Mccandless, James R","Field Surveys and Use of a Spatially Realistic Stochastic Patch Occupancy Model to Evaluate the Conservation Status of the Northern Cavefish, Amblyopsis spelaea Dekay","","","","10.13140/2.1.3442.4000","http://rgdoi.net/10.13140/2.1.3442.4000","","2005","2021-10-27 04:28:57","2021-10-27 04:28:57","2021-10-27 04:28:57","","","","","","","","","","","","","","en","","","","","DOI.org (Datacite)","","Publisher: Unpublished","","/Users/kelleherj/Zotero/storage/S2WFMB6F/Mccandless - 2005 - Field Surveys and Use of a Spatially Realistic Sto.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7CTT89ME","journalArticle","2014","Sutherland, C. S.; Elston, D. A.; Lambin, X.","A demographic, spatially explicit patch occupancy model of metapopulation dynamics and persistence","Ecology","","0012-9658","10.1890/14-0384.1","http://doi.wiley.com/10.1890/14-0384.1","Patch occupancy models are extremely important and popular tools for understanding the dynamics, and predicting the persistence, of spatially structured populations. Typically this endeavor is facilitated either by models from classic metapopulation theory focused on spatially explicit, dispersal-driven colonization–extinction dynamics and generally assuming perfect detection, or by more recent hierarchical site occupancy models that account for imperfect detection but rarely include spatial effects, such as dispersal, explicitly. Neither approach explicitly considers local demographics in a way that can be used for future projections. However, despite being arguably of equal importance, dispersal and connectivity, local demography, and imperfect detection are rarely modeled explicitly and simultaneously. Understanding the spatiotemporal occurrence patterns of spatially structured populations and making biologically realistic long-term predictions of persistence would beneﬁt from the simultaneous treatment of space, demography, and detectability. We integrated these key ideas in a tractable and intuitive way to develop a demographic and spatially realistic patch occupancy model that incorporates components of dispersal, local demographic stage-structure, and detectability. By explicitly relating stage-speciﬁc abundances to measurable patch properties, biologically realistic projections of long-term metapopulation dynamics could be made. We applied our model to data from a naturally fragmented population of water voles Arvicola amphibius to describe observed patch occupancy dynamics and to investigate long-term persistence under scenarios of elevated stage-speciﬁc local extinction. Accounting for biases induced by imperfect detection, we were able to estimate: stable, and higher than observed metapopulation occupancy; high rates of patch turnover and stage-speciﬁc colonization and extinction rates ( juvenile and adult, respectively); and juvenile dispersal distances (average 2.10 km). We found that metapopulation persistence in the presence of elevated extinction risk differed depending on which life stage was exposed, and was more sensitive to elevated juvenile rather than adult extinction risk. Predictions of persistence when dynamics are stage-speciﬁc suggest that metapopulations may be more resilient to changes in the environment than predicted when relationships are based on patch size approximations rather than population sizes. Our approach allows explicit consideration of local dynamics and dispersal in spatially structured and stage-structured populations, provides a more detailed mechanistic understanding of metapopulation functioning, and can be used to investigate future extinction risk under biologically meaningful scenarios.","2014-11","2021-10-27 04:28:59","2021-10-27 04:28:59","2021-10-27 04:28:59","3149-3160","","11","95","","Ecology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/68XYEIJT/Sutherland et al. - 2014 - A demographic, spatially explicit patch occupancy .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AKDJBEP9","journalArticle","2001","Tyre, Andrew J; Possingham, Hugh P; Niejalke, Darren P","Detecting environmental impacts on metapopulations of mound spring invertebrates Assessing an incidence function model","Environment International","","","","","We use a stochastic patch occupancy model of invertebrates in the Mound Springs ecosystem of South Australia to assess the ability of incidence function models to detect environmental impacts on metapopulations. We assume that the probability of colonisation decreases with increasing isolation and the probability of extinction is constant across spring vents. We run the models to quasi-equilibrium, and then impose an impact by increasing the local extinction probability. We sample the output at various times pre- and postimpact, and examine the probability of detecting a significant change in population parameters. The incidence function model approach turns out to have little power to detect environmental impacts on metapopulations with small numbers of patches. D 2001 Elsevier Science Ltd. All rights reserved.","2001","2021-10-27 04:33:53","2021-10-27 04:33:53","","5","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/kelleherj/Zotero/storage/UDKBWELL/Tyre et al. - 2001 - Detecting environmental impacts on metapopulations.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5EH7E8SF","journalArticle","2009","Alados, Concepción L.; Pueyo, Yolanda; Escós, Juan; Andujar, Antonio","Effects of the spatial pattern of disturbance on the patch-occupancy dynamics of juniper–pine open woodland","Ecological Modelling","","03043800","10.1016/j.ecolmodel.2009.03.029","https://linkinghub.elsevier.com/retrieve/pii/S0304380009002282","","2009-06","2021-10-27 04:33:55","2021-10-27 04:33:55","2021-10-27 04:33:55","1544-1550","","12","220","","Ecological Modelling","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/BH5ITPIJ/Alados et al. - 2009 - Effects of the spatial pattern of disturbance on t.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AHJ3SR6A","journalArticle","2013","Meerson, Baruch; Ovaskainen, Otso","Immigration-extinction dynamics of stochastic populations","Physical Review E","","1539-3755, 1550-2376","10.1103/PhysRevE.88.012124","http://arxiv.org/abs/1306.0184","How high should be the rate of immigration into a stochastic population in order to significantly reduce the probability of observing the population extinct? Is there any relation between the population size distributions with and without immigration? Under what conditions can one justify the simple patch occupancy models which ignore the population distribution and its dynamics in a patch, and treat a patch simply as either occupied or empty? We address these questions by exactly solving a simple stochastic model obtained by adding a steady immigration to a variant of the Verhulst model: a prototypical model of an isolated stochastic population.","2013-07-19","2021-10-27 04:34:05","2021-10-27 04:34:05","2021-10-27 04:34:05","012124","","1","88","","Phys. Rev. E","","","","","","","","en","","","","","arXiv.org","","arXiv: 1306.0184","","/Users/kelleherj/Zotero/storage/V745X42H/Meerson and Ovaskainen - 2013 - Immigration-extinction dynamics of stochastic popu.pdf","","","Condensed Matter - Statistical Mechanics; Quantitative Biology - Populations and Evolution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
