"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"L24DPTWB","journalArticle","2014","Santulli, Giulia; Palazón, Santiago; Melero, Yolanda; Gosálbez, Joaquim; Lambin, Xavier","Multi-season occupancy analysis reveals large scale competitive exclusion of the critically endangered European mink by the invasive non-native American mink in Spain","Biological Conservation","","00063207","10.1016/j.biocon.2014.05.002","https://linkinghub.elsevier.com/retrieve/pii/S0006320714001906","Understanding changes over time in the distribution of interacting native and invasive species that may be symptomatic of competitive exclusion is critical to identify the need for and effectiveness of management interventions. Occupancy models greatly increase the robustness of inference that can be made from presence/absence data when species are imperfectly detected, and recent novel developments allow for the quantiﬁcation of the strength of interaction between pairs of species.","2014-08","2021-10-27 03:24:28","2021-10-27 03:24:28","2021-10-27 03:24:28","21-29","","","176","","Biological Conservation","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/G298JZZ3/Santulli et al. - 2014 - Multi-season occupancy analysis reveals large scal.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SSX9B3KK","journalArticle","2018","Hall, Laurie A.; Van Schmidt, Nathan D.; Beissinger, Steven R.","Validating dispersal distances inferred from autoregressive occupancy models with genetic parentage assignments","Journal of Animal Ecology","","0021-8790, 1365-2656","10.1111/1365-2656.12811","https://onlinelibrary.wiley.com/doi/10.1111/1365-2656.12811","","2018-05","2021-10-27 03:24:31","2021-10-27 03:24:31","2021-10-27 03:24:31","691-702","","3","87","","J Anim Ecol","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/XXIDY6ZP/Hall et al. - 2018 - Validating dispersal distances inferred from autor.pdf","","","","Prugh, Laura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QB9EW9U7","journalArticle","2016","Broms, Kristin M.; Hooten, Mevin B.; Johnson, Devin S.; Altwegg, Res; Conquest, Loveday L.","Dynamic occupancy models for explicit colonization processes","Ecology","","00129658","10.1890/15-0416.1","http://doi.wiley.com/10.1890/15-0416.1","The dynamic, multi-season occupancy model framework has become a popular tool for modeling open populations with occupancies that change over time through local colonizations and extinctions. However, few versions of the model relate these probabilities to the occupancies of neighboring sites or patches. We present a modeling framework that incorporates this information and is capable of describing a wide variety of spatiotemporal colonization and extinction processes. A key feature of the model is that it is based on a simple set of small-scale rules describing how the process evolves. The result is a dynamic process that can account for complicated large-scale features. In our model, a site is more likely to be colonized if more of its neighbors were previously occupied and if it provides more appealing environmental characteristics than its neighboring sites. Additionally, a site without occupied neighbors may also become colonized through the inclusion of a long-distance dispersal process. Although similar model speciﬁcations have been developed for epidemiological applications, ours formally accounts for detectability using the well-known occupancy modeling framework. After demonstrating the viability and potential of this new form of dynamic occupancy model in a simulation study, we use it to obtain inference for the ongoing Common Myna (Acridotheres tristis) invasion in South Africa. Our results suggest that the Common Myna continues to enlarge its distribution and its spread via short distance movement, rather than long-distance dispersal. Overall, this new modeling framework provides a powerful tool for managers examining the drivers of colonization including short- vs. long-distance dispersal, habitat quality, and distance from source populations.","2016-01","2021-10-27 03:24:33","2021-10-27 03:24:33","2021-10-27 03:24:33","194-204","","1","97","","Ecology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/UCFNMVSN/Broms et al. - 2016 - Dynamic occupancy models for explicit colonization.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LNU3I8I5","journalArticle","","Cosentino, Bradley J","Examining occupancy and detection probability after three years of monitoring for the Illinois chorus frog (Pseudacris streckeri illinoensis) _______________________________________","","","","","","","","2021-10-27 03:24:34","2021-10-27 03:24:34","","12","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/kelleherj/Zotero/storage/MKDVUWCU/Cosentino - Examining occupancy and detection probability afte.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7G5PXAJU","journalArticle","2011","Marucco, Francesca","DISTRIBUTION, HABITAT SUITABILITY, AND CONNECTIVITY OF WOLVES (CANIS LUPUS) IN THE ALPS","","","","","","","2011","2021-10-27 03:24:35","2021-10-27 03:24:35","","23","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/kelleherj/Zotero/storage/YT7ZRULB/Marucco - 2011 - DISTRIBUTION, HABITAT SUITABILITY, AND CONNECTIVIT.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6ILB4K3H","journalArticle","2015","Leavitt, Daniel Jacob; Hoffman, Hillary A.","Sonoran Desert Tortoise (Gopherus morafkai) occupancy monitoring on the Arizona Army National Guard Florence Military Reservation: 2014 Report.","","","","10.13140/RG.2.1.4706.5681","http://rgdoi.net/10.13140/RG.2.1.4706.5681","","2015","2021-10-27 03:24:41","2021-10-27 03:24:41","2021-10-27 03:24:41","","","","","","","Sonoran Desert Tortoise (Gopherus morafkai) occupancy monitoring on the Arizona Army National Guard Florence Military Reservation","","","","","","","en","","","","","DOI.org (Datacite)","","Publisher: Arizona Game and Fish Department","","/Users/kelleherj/Zotero/storage/DWXQ3YIV/Leavitt and Hoffman - 2015 - Sonoran Desert Tortoise (Gopherus morafkai) occupa.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSFESYWU","journalArticle","","Richmond, Orien M W; Tecklin, Jerry; Beissinger, Steven R","Impact of cattle grazing on the occupancy of a cryptic, threatened rail","Ecological Applications","","","","","Impacts of livestock grazing in arid and semiarid environments are often concentrated in and around wetlands where animals congregate for water, cooler temperatures, and green forage. We assessed the impacts of winter–spring (November–May) cattle grazing on marsh vegetation cover and occupancy of a highly secretive marsh bird that relies on dense vegetation cover, the California Black Rail (Laterallus jamaicensis coturniculus), in the northern Sierra Nevada foothills of California, USA. Using detection–nondetection data collected during repeated call playback surveys at grazed vs. ungrazed marshes and a ‘‘random changes in occupancy’’ parameterization of a multi-season occupancy model, we examined relationships between occupancy and habitat covariates, while accounting for imperfect detection. Marsh vegetation cover was signiﬁcantly lower at grazed marshes than at ungrazed marshes during the grazing season in 2007 but not in 2008. Winter–spring grazing had little effect on Black Rail occupancy at irrigated marshes. However, at nonirrigated marshes fed by natural springs and streams, grazed sites had lower occupancy than ungrazed sites. Black Rail occupancy was positively associated with marsh area, irrigation as a water source, and summer vegetation cover, and negatively associated with marsh isolation. Residual dry matter (RDM), a commonly used metric of grazing intensity, was signiﬁcantly associated with summer marsh vegetation cover at grazed sites but not spring cover. Direct monitoring of marsh vegetation cover, particularly at natural spring- or streamfed marshes, is recommended to prevent negative impacts to rails from overgrazing.","","2021-10-27 03:24:47","2021-10-27 03:24:47","","11","","5","22","","","","","","","","","","en","","","","","Zotero","","","","/Users/kelleherj/Zotero/storage/CLRZDQJ2/Richmond et al. - Impact of cattle grazing on the occupancy of a cry.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N3HYD4TM","journalArticle","2010","Peters, Valerie E.; Mordecai, Rua; Ronald Carroll, C.; Cooper, Robert J.; Greenberg, Russell","Bird community response to fruit energy: Bird community response","Journal of Animal Ecology","","00218790, 13652656","10.1111/j.1365-2656.2010.01699.x","https://onlinelibrary.wiley.com/doi/10.1111/j.1365-2656.2010.01699.x","","2010-04","2021-10-27 03:24:50","2021-10-27 03:24:50","2021-10-27 03:24:50","no-no","","","","","","Bird community response to fruit energy","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/HXDXHZW3/Peters et al. - 2010 - Bird community response to fruit energy Bird comm.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XB6Z2RKZ","journalArticle","2020","Wood, Connor M; Gutiérrez, R J; Keane, John J; Peery, M Zachariah","Early detection of rapid Barred Owl population growth within the range of the California Spotted Owl advises the Precautionary Principle","The Condor","","0010-5422, 1938-5129","10.1093/condor/duz058","https://academic.oup.com/condor/article/doi/10.1093/condor/duz058/5670813","Biological invasions are most practical to manage when invasive species population densities are low. Despite a potentially narrow window of opportunity for efficient management, managers tend to delay intervention because the cost of prompt action is often high and resources are limited. The Barred Owl (Strix varia) invaded and colonized the entire range of the Northern Spotted Owl (S. occidentalis caurina), but insufficient population data contributed to delays in action until the Barred Owl posed an existential threat to the Spotted Owl. The leading edge of the Barred Owl expansion has since reached the Sierra Nevada, the core range of the California Spotted Owl (S. o. occidentalis). We conducted passive acoustic surveys within 400-ha grid cells across ~6,200 km2 in the northern Sierra Nevada and detected a 2.6-fold increase in Barred Owl site occupancy between 2017 and 2018, from 0.082 (85% confidence interval: 0.045–0.12) to 0.21 (0.14–0.28). The probability of Barred Owl site colonization increased with the amount of older forest, suggesting that Barred Owls are first occupying the preferred habitat of Spotted Owls. GPS-tagged Barred Owls (n = 10) generally displayed seasonal and interannual site fidelity over territories averaging 411 ha (range: 150–513 ha), suggesting that our occupancy estimates were not substantially upwardly biased by “double counting” individuals whose territories spanned multiple grid cells. Given the Barred Owl’s demonstrated threat to the Northern Spotted Owl, we believe our findings advise the Precautionary Principle, which posits that management actions such as invasive species removal should be taken despite uncertainties about, for example, true rates of population growth if the cost of inaction is high. In this case, initiating Barred Owl removals in the Sierra Nevada before the population grows further will likely make such action more cost-effective and more humane than if it is delayed. It could also prevent the extirpation of the California Spotted Owl from its core range.","2020-03-10","2021-10-27 03:24:54","2021-10-27 03:24:54","2021-10-27 03:24:54","duz058","","1","122","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/kelleherj/Zotero/storage/2HMITQJD/Wood et al. - 2020 - Early detection of rapid Barred Owl population gro.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2J8BTYCW","bookSection","2017","Arctic Raptor Project, P.O. box 626, Rankin Inlet, Nunavut, Canada, X0C 0G0; hedlin@ualberta.ca: Erik’s personal mailing address: 830 Swan Crescent, Saskatoon, SK, S7J 5C7, Canada; Hedlin, Erik; Franke, Alastair; Arctic Raptor Project, P.O. box 626, Rankin Inlet, Nunavut, Canada, X0C 0G0;  University of Alberta, 116 St & 85 Ave, Edmonton, AB, Canada, T6G 2R3, alastair.franke@ualberta.ca","Accounting for imperfect detection in estimates of yearly site occupancy","Applied Raptor Ecology: Essentials from Gyrfalcon Research","978-1-5484-3076-4","","","http://science.peregrinefund.org/applied-raptor-ecology","","2017","2021-10-27 03:31:29","2021-10-27 03:31:29","2021-10-27 03:31:29","183-206","","","","","","","","","","","The Peregrine Fund","","en","","","","","DOI.org (Crossref)","","DOI: 10.4080/are.2017/010","","/Users/kelleherj/Zotero/storage/VYNY5XUU/Arctic Raptor Project, P.O. box 626, Rankin Inlet, Nunavut, Canada, X0C 0G0 et al. - 2017 - Accounting for imperfect detection in estimates of.pdf","","","","The Peregrine Fund: www.peregrinefund.org; Anderson, David L.; McClure, Christopher J.W.; The Peregrine Fund: www.peregrinefun.org; Franke, Alastair; Arctic Raptors: http://www.arcticraptors.ca/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
