Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Detecting dispersal: A spatial dynamic occupancy model to reliably quantify connectivity across heterogeneous conservation landscapes","Vasudev, Divya; Goswami, Varun R.; Oli, Madan K.","Biological Conservation",="00063207",,="January 2021","253",,,,"S0006320720309320","10.1016/j.biocon.2020.108874","Elsevier Ltd","fla","Animal movement; Conservation prioritization; Corridors; Detection probability; Elephants; Fragmentation",,"Connectivity shapes species distribution, spatial population dynamics and genetic structure, and is critical for conservation. It is imperative to reliably identify factors that limit connectivity across heterogeneous, fragmented landscapes. Viewing connectivity as the persistence of movement in space from source to destination—along potential corridors simulated from correlated random walks—we adapt the dynamic occupancy modeling framework to present an approach to reliably quantify connectivity. This approach allowed us to estimate the probability of spatial persistence of movement along potential corridors, while accounting for imperfect detection of animal use of the matrix. We use simulations to test our model, and data from sign surveys of Asian elephant Elephas maximus space use in Garo Hills, Northeast India, as a practical application of the method. Distance to forests and ruggedness predominantly shaped elephant connectivity patterns. Negative effects of distance to forests were intensified at the onset of dispersal, and in the more disturbed part of our landscape. We mapped locations critical to maintaining connectivity in our study landscape. We demonstrate that the widely used occupancy modeling approach, when combined with appropriate field data collection, permits explicit assessment of matrix impacts on connectivity while accounting for imperfect detection of animal movement. In so doing, we highlight the value of the approach in enabling inference on where animals move, as well as why. Obtaining a reliable understanding of factors shaping connectivity is central to understanding and predicting species responses to environmental change, thereby facilitating effective long-term conservation in fragmented landscapes. @@@@Highlights •Connectivity is a priority consideration in landscape-scale conservation programs.•We quantify connectivity and its drivers through an adaptation of occupancy models.•We use data on elephant space-use from a conservation landscape in Northeast India.•Forests in the matrix lessen edge effects and, with ruggedness, shape connectivity.•We present a non-invasive, widely applicable approach to understand connectivity.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edselp&AN=S0006320720309320&site=eds-live&scope=site&custid=s2775460"
"Reversing a downward trend in threatened peripheral amphibian (Triturus cristatus) populations through interventions combining species, habitat and genetic information","O'Brien, David; Hall, J.E.; Miró, A.; O'Brien, K.; Falaschi, M.; Jehle, R.","Journal for Nature Conservation",="16171381",,="December 2021","64",,,,"S1617138121001242","10.1016/j.jnc.2021.126077","Elsevier GmbH","fla","Genetic diversity; Pond creation; Range edge; Connectivity map; Evidence-based conservation; Dynamic occupancy model",,"Conserving genetic diversity in wild species is vital for preserving adaptations to local environmental conditions. We conducted a habitat creation project for a flagship European Protected Species of amphibian (northern great crested newt Triturus cristatus) at its north-western range edge in the Scottish Highlands, combining existing knowledge about the species’ local habitat requirements and the genetic structure of existing populations. Reconciled by a spatial connectivity model, we determined the best locations for the creation or restoration of 25 ponds to facilitate their natural colonisation, and to reconnect areas with similar genetic makeup whilst preserving differences between populations belonging to separate genetic clusters. A dynamic occupancy model based on data derived from standardised surveys revealed that both detection and occupancy probabilities strongly depended on habitat features known to be locally favourable for T. cristatus. At least 12 of the 25 new ponds were colonised within six years, representing a 26% increase in number of breeding ponds in the region and offsetting a gradual decline in number of pre-existing breeding sites recorded over the last 3 decades. Combining genetic evidence, spatial modelling and historical knowledge with local stakeholder engagement led to a habitat creation and management scheme that has met its immediate and evidence-based conservation goals in a way which is transferable to a range of different systems.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edselp&AN=S1617138121001242&site=eds-live&scope=site&custid=s2775460"
"A multistate dynamic occupancy model to estimate local colonization–extinction rates and patterns of co‐occurrence between two or more interacting species","Fidino, Mason; Simonis, Juniper L.; Magle, Seth B.; O'Hara, Robert B.","Methods in ecology and evolution",="2041210X",,="2019","10","2","233","12","vdc.100087700991.0x000001",,"John Wiley & Sons Ltd","Periodical",,,,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsbl&AN=vdc.100087700991.0x000001&site=eds-live&scope=site&custid=s2775460"
"Regional and local effects drive changes in spawning stream occupancy in a sockeye salmon metapopulation.",,"Canadian Journal of Fisheries & Aquatic Sciences",="0706652X",,="2021","78","8","1084","12","151929844","10.1139/cjfas-2020-0463","Canadian Science Publishing","Article","SOCKEYE salmon; MOTOR vehicle driving; HABITATS; DYNAMIC models; SALMON; BRITISH Columbia; Finfish Fishing; Freshwater fishing",,"There is a need to explicitly consider metapopulation dynamics in the development of conservation strategies for spatially structured populations. We examined the spatial dynamics of sockeye salmon (Oncorhynchus nerka) that spawn in 36 streams of the Stuart River watershed in British Columbia, Canada, using a 69-year record of spawner abundance and a demographically based Bayesian dynamic occupancy model. We identified a set of 12 streams with good habitat conditions that were occupied >90% of years despite large year-to-year changes in abundance. Over 85% of spawners were concentrated in these streams. Many other streams with poorer habitat had small populations that were not persistent over time and were periodically recolonized by dispersers from other streams. Although it is often assumed population diversity and resiliency is maximized when all available habitats are used, for this salmon metapopulation, resiliency is due to the core streams of higher habitat quality. Currently, other streams make only small contributions to population abundance; however, some may have conservation value if their habitats become more suitable for spawning in the future. (English) [ABSTRACT FROM AUTHOR] Une considération explicite de la dynamique des métapopulations est nécessaire dans l'élaboration de stratégies de conservation pour les populations caractérisées par une structuration spatiale. Nous examinons la dynamique spatiale des saumons sockeyes (Oncorhynchus nerka) frayant dans 36 cours d'eau du bassin versant de la rivière Stuart (Colombie-Britannique, Canada), en utilisant des données d'abondance de géniteurs couvrant 69 années et un modèle d'occupation dynamique bayésien basé sur la démographie. Nous cernons un ensemble de 12 cours d'eau caractérisés par de bonnes conditions d'habitat qui étaient occupés >90 % des années, malgré d'importantes variations interannuelles de l'abondance. Plus de 85 % des géniteurs étaient concentrés dans ces cours d'eau. De nombreux autres cours d'eau présentant des habitats de moins bonne qualité ont accueilli de plus petites populations non persistantes dans le temps et ont été recolonisés périodiquement par des individus provenant d'autres cours d'eau arrivés par dispersion. Bien qu'il soit souvent présumé que l'utilisation de tous les habitats disponibles maximise la diversité et la résilience des populations, pour cette métapopulation de saumons, la résilience est due aux principaux cours d'eau dont les habitats sont de bonne qualité. Si la contribution actuelle d'autres cours d'eau à l'abondance des populations est faible, certains pourraient être intéressants pour la conservation à l'avenir si leurs habitats deviennent plus propices au frai. [Traduit par la Rédaction] (French) [ABSTRACT FROM AUTHOR] Copyright of Canadian Journal of Fisheries & Aquatic Sciences is the property of Canadian Science Publishing and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=a9h&AN=151929844&site=eds-live&scope=site&custid=s2775460"
"Drought-mediated extinction of an arid-land amphibian: insights from a spatially explicit dynamic occupancy model","Zylstra, Erin R.; Swann, Don E.; Hossack, Blake R.; Muths, Erin; Steidl, Robert J.","ECOLOGICAL APPLICATIONS",="10510761",,="2019","29","3","UNSP e01859","15","000463954800008","10.1002/eap.1859","WILEY",,"Bayesian state-space model; climate; colonization; extinction; Lithobates yavapaiensis; lowland leopard frog; metapopulation dynamics; sedimentation; stream network",,,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edswsc&AN=000463954800008&site=eds-live&scope=site&custid=s2775460"
"Using environmental DNA and occupancy modelling to estimate rangewide metapopulation dynamics.","Martel, Chad M.; Sutter, Michael; Dorazio, Robert M.; Kinziger, Andrew P.","Molecular Ecology",="09621083",,="Jul2021","30","13","3340","15","151398513","10.1111/mec.15693","Wiley-Blackwell","Article","COLONIZATION (Ecology); BIOLOGICAL extinction; DNA; MULTISCALE modeling; SPECIES distribution","dynamic occupancy model; environmental DNA; Eucyclogobius kristinae; Eucyclogobius newberryi; metapopulation dynamics; multiscale occupancy; spatial occupancy; tidewater goby","We demonstrate the power of combining two emergent tools for resolving rangewide metapopulation dynamics. First, we employed environmental DNA (eDNA) surveys to efficiently generate multiseason rangewide site occupancy histories. Second, we developed a novel dynamic, spatial multiscale occupancy model to estimate metapopulation dynamics. The model incorporates spatial relationships, explicitly accounts for non‐detection bias and allows direct evaluation of the drivers of extinction and colonization. We applied these tools to examine metapopulation dynamics of endangered tidewater goby, a species endemic to California estuarine habitats. We analysed rangewide eDNA data from 190 geographically isolated sites (813 total water samples) surveyed from 2 years (2016 and 2017). Rangewide estimates of the proportion of sites that were occupied varied little between 2016 (0.52) and 2017 (0.51). However, there was evidence of extinction and colonization dynamics. The probability of extinction of an occupied site (0.106) and probability of colonization of an unoccupied site (0.085) were nearly equal. Stability in site occupancy proportions combined with nearly equal rates of extinction and colonization suggests a dynamic equilibrium between the 2 years surveyed. Assessment of covariate effects revealed that colonization probability increased as the number of occupied neighbouring sites increased and as distance between occupied sites decreased. We show that eDNA surveys can rapidly provide a snapshot of a species distribution over a broad geographic range and, when these surveys are paired with occupancy modelling, can uncover metapopulation dynamics and their drivers. [ABSTRACT FROM AUTHOR] Copyright of Molecular Ecology is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=a9h&AN=151398513&site=eds-live&scope=site&custid=s2775460"
"Experimentally testing the response of feral cats and their prey to poison baiting","Doherty, Tim S.; Hall, Michelle L.; Parkhurst, Ben; Westcott, Vanessa","WILDLIFE RESEARCH",="10353712",,="2021",,,,"10","000686575300001","10.1071/WR21008","CSIRO PUBLISHING",,"cat baiting; dynamic occupancy model; impact evaluation; invasive predator; lethal control; pest control",,,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edswsc&AN=000686575300001&site=eds-live&scope=site&custid=s2775460"
"Taking the bait: The influence of attractants and microhabitat on detections of fauna by remote‐sensing cameras.","Rendall, Anthony R.; White, John G.; Cooke, Raylene; Whisson, Desley A.; Schneider, Thomas; Beilharz, Lisa; Poelsma, Eleanor; Ryeland, Julia; Weston, Michael A.","Ecological Management & Restoration",="14427001",,="Jan2021","22","1","72","8","148363815","10.1111/emr.12444","Wiley-Blackwell","Article","ECOLOGICAL niche; MURIDAE; CAMERAS; MAGIC squares; ZOOLOGICAL surveys; SPECIES diversity; VICTORIA; Camera and photographic supplies stores; Electronics Stores; Photographic Equipment and Supplies Merchant Wholesalers; Photographic equipment and supplies merchant wholesalers; Photographic and Photocopying Equipment Manufacturing; Commercial and service industry machinery manufacturing","detection probability; dynamic occupancy model; lure","Summary: Autonomously triggered cameras are a common wildlife survey technique. The use of attractants and surrounding microhabitats is likely to influence detection probabilities and survey outcomes; however, few studies consider these factors. We compared three attractants (peanut butter‐based, tuna‐based and a control) in a Latin square design through a coastal shrubland with high microhabitat variability at Cape Otway, Victoria, Australia (38º50ʹS, 143º30ʹE). Deployments involved 36 cameras for four days in each of five years. The percentage cover of each vegetation structural type (low [no or sparse cover], moderate [grass] or high [shrubs]) within 20 m of each camera was calculated and reduced to a single variable using PCA. Dynamic occupancy modelling, with lure type and vegetation structure as covariates of detection probability, found that peanut butter attracted the greatest diversity of species (24 of 35 species, 69%) and yielded the greatest number of detections (50% of 319) when compared with tuna oil (66% and 24%, respectively) and the control (43% and 26%, respectively). Peanut butter attracted more Macropodidae (wallabies) and Muridae (rats and mice); however, vegetation structural variables were the greatest influence on Corvidae/Artamidae (raven/currawong) detections with higher detectability in more open areas. Vegetation structure also influenced Muridae detections. This study reinforces the critical choice of appropriate attractants and camera placement when investigating vertebrate groups and highlights the role of microhabitat in the detection of small mammals and birds. We suggest future large‐scale camera surveys consider different bait types and microhabitats in their designs, to control for any biases and enable future advice on 'optimal' methods. [ABSTRACT FROM AUTHOR] Copyright of Ecological Management & Restoration is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=a9h&AN=148363815&site=eds-live&scope=site&custid=s2775460"
"Long‐term effects of colonization–extinction dynamics of generalist versus specialist wood‐decaying fungi.","Moor, Helen; Nordén, Jenni; Penttilä, Reijo; Siitonen, Juha; Snäll, Tord; Singh, Brajesh","Journal of Ecology",="00220477",,="Jan2021","109","1","491","13","148069659",,"Wiley-Blackwell","Article","WOOD-decaying fungi; FOREST productivity; POPULATION viability analysis; SPECIALISTS; LANDSCAPE changes; DYNAMIC models","colonization–extinction dynamics; decomposer fungi; dynamic occupancy model; ecological specialization; forestry; land‐use scenario; landscape ecology; metapopulation","Long‐term metapopulation persistence is mediated by the dynamics of colonization and extinction. To understand and predict future species occupancy in changing landscapes, we must account for the dynamic rates that shape the occupancy and disentangle their dependence on environmental conditions. Specialist and generalist species may differ in their dynamics in systematic ways.Using an extensive, large‐scale repeat survey dataset for wood‐decaying fungi, we fitted dynamic metapopulation models for ten species, ranging from generalists to specialists with differing resource requirements. We first estimated base rates of colonization and extinction and tested their relationships to species' degree of specialization. We then tested for effects of local and landscape scale variables on the colonization and extinction rates. Finally, using the fitted models and a scenario of future forest development we projected future colonization–extinction dynamics over 100 years to test for differences in species occupancies between production stands and set‐aside stands.Our study revealed a striking pattern of decreasing colonization rates with increasing degree of specialization across species, along with concomitantly increasing extinction rates. Strong sensitivity of colonization probabilities to local habitat quality (dead wood volume and stand age) in specialist but not generalist species constrained the regional occupancy of specialists, especially in production forest. We found evidence for short‐range dispersal limitation in two specialists, but no effect of our measure for landscape‐scale connectivity on colonization rates. Simulations of future metapopulation dynamics resulted in decreasing and lower final occupancy in production forest than in set‐asides, especially of specialist species. In set‐aside stands, however, specialists increased over time to relatively high occupancies.Synthesis. Colonization–extinction dynamics of wood‐decaying fungi varied with species' degree of specialization. Increasing specialization was associated with increasing sensitivity of colonization rates to habitat conditions, and partly local connectivity, as well as with increasing extinction rates. Low landscape‐scale occupancies of specialist as compared to generalist wood‐decaying fungi are thus maintained by a combination of lower colonization rates, particularly in production forest, and higher extinction rates. [ABSTRACT FROM AUTHOR] Copyright of Journal of Ecology is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=puh&AN=148069659&site=eds-live&scope=site&custid=s2775460"
"Modeling multi‐scale occupancy for monitoring rare and highly mobile species.","Emmet, Robert L.; Long, Robert A.; Gardner, Beth","Ecosphere",="21508925",,="Jul2021","12","7","1","14","151650828","10.1002/ecs2.3637","Wiley-Blackwell","Article","Species; Washington (D.C.); Multiscale modeling; Dynamic models; Units of time; Probability theory","continuous‐time; detection probability; multi‐scale; occupancy; trends in occurrence; wolverines","Occupancy‐based methods are commonly used to model the distribution, habitat use, and relative abundance of species. In particular, occupancy‐based methods are often recommended for monitoring species, allowing researchers to track population trends using detection–non‐detection data alone. Occupancy models, however, have proven difficult to apply to rare, highly mobile species. Species' movements outside of sampling areas may lead to violation of the geographic closure assumption of occupancy models and overestimated occupancy probability. Low detection probability may further inflate occupancy probability estimates. We developed a novel continuous‐time, multi‐scale occupancy model to simultaneously account for closure assumption violations and low detection probability. We used a simulation study to test our model relative to a discrete‐time multi‐scale model, and we conducted a power analysis to assess the ability of an instantaneous occupancy parameter to detect trends in abundance, relative to standard occupancy alone. The continuous‐time model was competitive with the discrete‐time model and was generally computationally faster than and outperformed the discrete‐time model when detection probability was low. The instantaneous occupancy parameter outperformed occupancy in terms of power to detect trends when we used an implicit (i.e., estimating occupancy independently in each primary occasion) dynamic occupancy model, but performed no better when we used an explicit (i.e., estimating colonization and extinction) dynamic occupancy model. We applied both discrete‐time and continuous‐time multi‐scale occupancy models to a case study of data collected on wolverines (Gulo gulo) in Washington, USA. We found improved precision in estimates with the continuous‐time model and that asymptotic occupancy of wolverines was high, but short‐term use of any given area was low. Our multi‐scale, continuous‐time occupancy model can be used to detect trends in abundance of rare, highly mobile species, regardless of how occupancy dynamics are modeled. Furthermore, our model can allow for more efficient data collection and analysis than traditional discrete‐time or spatially multi‐scale approaches, as our model uses all available detections and requires only one detector per sampling unit by substituting time for space. [ABSTRACT FROM AUTHOR] Copyright of Ecosphere is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=8gh&AN=151650828&site=eds-live&scope=site&custid=s2775460"
