Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"The incidence function model as a tool for landscape-scale ecological impact assessments","Graham, Laura J.; Haines-Young, Roy H.; Field, Richard","Landscape and Urban Planning",="01692046",,="February 2018","170",,"187","8","S0169204617302876","10.1016/j.landurbplan.2017.10.008","Elsevier B.V.","fla","Ecological impact assessment; Incidence function model; Landscape scale; Habitat loss; Decision making tool; Species persistence",,"Highlights •Incidence Function Model is useful for landscape-scale biodiversity assessments.•We developed repeatable and comparable quantitative estimates of ecological impacts.•In our study a loss of more than 10% of natural space required landscape assessment.•Site-based ecological impact assessment is sufficient for lower habitat-loss levels.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edselp&AN=S0169204617302876&site=eds-live&scope=site&custid=s2775460"
"The stochastic resonance for the incidence function model of metapopulation","Li, Jiang-Cheng; Dong, Zhi-Wei; Zhou, Ruo-Wei; Li, Yun-Xian; Qian, Zhen-Wei","Physica A: Statistical Mechanics and its Applications",="03784371",,="15 June 2017","476",,"70","14","S0378437117301814","10.1016/j.physa.2017.02.027","Elsevier B.V.","fla","Metapopulation; Agricultural insurance; Crop diseases and pests; Signal-to-noise ratio; Econophysics",,"A stochastic model with endogenous and exogenous periodicities is proposed in this paper on the basis of metapopulation dynamics to model the crop yield losses due to pests and diseases. The rationale is that crop yield losses occur because the physiology of the growing crop is negatively affected by pests and diseases in a dynamic way over time as crop both grows and develops. Metapopulation dynamics can thus be used to model the resultant crop yield losses. The stochastic metapopulation process is described by using the Simplified Incidence Function model (IFM). Compared to the original IFMs, endogenous and exogenous periodicities are considered in the proposed model to handle the cyclical patterns observed in pest infestations, diseases epidemics, and exogenous affecting factors such as temperature and rainfalls. Agricultural loss data in China are used to fit the proposed model. Experimental results demonstrate that: (1) Model with endogenous and exogenous periodicities is a better fit; (2) When the internal system fluctuations and external environmental fluctuations are negatively correlated, EIL or the cost of loss is monotonically increasing; when the internal system fluctuations and external environmental fluctuations are positively correlated, an outbreak of pests and diseases might occur; (3) If the internal system fluctuations and external environmental fluctuations are positively correlated, an optimal patch size can be identified which will greatly weaken the effects of external environmental influence and hence inhibit pest infestations and disease epidemics.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edselp&AN=S0378437117301814&site=eds-live&scope=site&custid=s2775460"
"A robust-design formulation of the incidence function model of metapopulation dynamics applied to two species of rails","Benjamin B. Risk; Perry de Valpine; Steven R. Beissinger","Ecology",="00129658",,="2011","92","2","462",,"edsjsr.41151155",,"Ecological Society of America","research-article","Missing data; Metapopulation ecology; Ecological modeling; Connectivity; Parametric models; Modeling; Datasets; Rail lines; Species extinction; Multilevel models",,"The incidence function model (IFM) uses area and connectivity to predict metapopulation dynamics. However, false absences and missing data can lead to underestimates of the number of sites contributing to connectivity, resulting in overestimates of dispersal ability and turnovers (extinctions plus colonizations). We extend estimation methods for the IFM by using a hierarchical Bayesian model to account both for false absences due to imperfect detection and for missing data due to sites not surveyed in some years. We compare parameter estimates, measures of metapopulation dynamics, and forecasts using stochastic patch occupancy models (SPOMs) among three IFM models: (1) a Bayesian formulation assuming no false absences and omitting site-year combinations with missing data; (2) a hierarchical Bayesian formulation assuming no false absences but incorporating missing data; and (3) a hierarchical Bayesian formulation allowing for imperfect detection and incorporating missing data. We fit the models to multiyear data sets of occupancy for two bird species that differ in body size and presumed dispersal ability but inhabit the same network of sites: the small Black Rail (Laterallus jamaicensis) and the medium-sized Virginia Rail (Rallus limicola). Incorporating missing data affected colonization parameters and led to lower estimates of dispersal ability for the Black Rail. Detection rates were high for the Black Rail in most years but moderate for the Virginia Rail. Incorporating imperfect detection resulted in higher occupancy and lower turnover rates for both species, with largest effects for the Virginia Rail. Forecasts using SPOMs were sensitive to both missing data and false absences; persistence in models assuming no false absences was more optimistic than from robust models. Our results suggest that incorporating false absences and missing data into the IFM can improve (1) estimates of dispersal ability and the effect of connectivity on colonization, (2) the scaling of extinction risk with patch area, and (3) forecasts of occupancy and turnover rates.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsjsr&AN=edsjsr.41151155&site=eds-live&scope=site&custid=s2775460"
"Detecting environmental impacts on metapopulations of mound spring invertebrates: Assessing an incidence function model","Tyre, Andrew J; Possingham, Hugh P; Niejalke, Darren P","Environment International",="01604120",,="2001","27","2","225","5","S0160412001000915","10.1016/S0160-4120(01)00091-5","Elsevier Ltd","fla","Metapopulation; Environmental impact; Great Artesian Basin; Incidence function model; Quasi-equilibrium; Maximum likehood",,"We use a stochastic patch occupancy model of invertebrates in the Mound Springs ecosystem of South Australia to assess the ability of incidence function models to detect environmental impacts on metapopulations. We assume that the probability of colonisation decreases with increasing isolation and the probability of extinction is constant across spring vents. We run the models to quasi-equilibrium, and then impose an impact by increasing the local extinction probability. We sample the output at various times pre- and postimpact, and examine the probability of detecting a significant change in population parameters. The incidence function model approach turns out to have little power to detect environmental impacts on metapopulations with small numbers of patches.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edselp&AN=S0160412001000915&site=eds-live&scope=site&custid=s2775460"
"A robust-design formulation of the incidence function model of metapopulation dynamics applied to two species of rails","Risk, B.B.; De Valpine, P.; Beissinger, S.R.","ECOLOGY -NEW YORK-",="00129658",,="2011","92","2","462","13","RN290089333",,"ECOLOGICAL SOCIETY OF AMERICA","Periodical",,,,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsbl&AN=RN290089333&site=eds-live&scope=site&custid=s2775460"
"Butterflies of fragmented wet grassland in Western European lowland forests: Effects of vegetation, connectivity and plot size","Schlegel, Jürg; Hofstetter, Andreas","Acta Oecologica",="1146609X",,="May 2021","110",,,,"S1146609X20301831","10.1016/j.actao.2020.103691","Elsevier Masson SAS","fla","Conservation biology; Habitat isolation; Incidence function model IFM; Species-area relationship; Euphydryas aurinia; Phengaris alcon",,"Habitat fragmentation, as a result of habitat loss and degradation, is widely considered to be a major threat to biodiversity. Our study focused on the distribution, diversity and abundance of butterflies on 22 isolated plots, mainly consisting of wet grassland. The plots were surrounded by deciduous mixed forests and located in an agglomeration area close to Lake Zurich, Switzerland. In addition to vegetation parameters, we assessed structural connectivity, adapted to least cost distances, using digital surface and terrain models. The resulting mixed-effects models revealed on plot level that (1) Molinia meadows had a significantly positive effect on rarefied Simpson butterfly diversity, (2) structural connectivity had a highly significant negative impact on rarefied Simpson butterfly diversity, whereas (3) plot size showed a significant positive impact, and (4) higher butterfly abundance was strongly related to blossom density. Across plot level, Molinia meadows had a higher rarefied butterfly species richness and rarefied Simpson butterfly diversity than any of the other habitat types evaluated. Among the endangered target species, the preferences of the Alcon Blue Phengaris alcon alcon were consistent with (1) to (3), while those of the Marsh Fritillary's E. aurinia aurinia were not. (2) is discussed with regards to the predominant influence of habitat type, vegetation and plot size, relativizing the effect of structural connectivity on butterfly communities in presumably resilient metapopulations. Ongoing targeted maintenance measures in the study area provide a promising basis for the sustainable conservation of local butterfly communities in isolated wet grassland plots.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edselp&AN=S1146609X20301831&site=eds-live&scope=site&custid=s2775460"
"A robustâdesign formulation of the incidence function model of metapopulation dynamics applied to two species of rails","Risk, Benjamin B.; Perry de Valpine; Steven R. Beissinger","Ecology",="0012-9658",,="2011","92","2","462","13","IND605236026","10.1890/09-2402.1",,"Journal Article","Bayesian theory; Rallus limicola; birds; body size; data collection; extinction; models; risk",,"The incidence function model (IFM) uses area and connectivity to predict metapopulation dynamics. However, false absences and missing data can lead to underestimates of the number of sites contributing to connectivity, resulting in overestimates of dispersal ability and turnovers (extinctions plus colonizations). We extend estimation methods for the IFM by using a hierarchical Bayesian model to account both for false absences due to imperfect detection and for missing data due to sites not surveyed in some years. We compare parameter estimates, measures of metapopulation dynamics, and forecasts using stochastic patch occupancy models (SPOMs) among three IFM models: (1) a Bayesian formulation assuming no false absences and omitting siteâyear combinations with missing data; (2) a hierarchical Bayesian formulation assuming no false absences but incorporating missing data; and (3) a hierarchical Bayesian formulation allowing for imperfect detection and incorporating missing data. We fit the models to multiyear data sets of occupancy for two bird species that differ in body size and presumed dispersal ability but inhabit the same network of sites: the small Black Rail (Laterallus jamaicensis) and the mediumâsized Virginia Rail (Rallus limicola). Incorporating missing data affected colonization parameters and led to lower estimates of dispersal ability for the Black Rail. Detection rates were high for the Black Rail in most years but moderate for the Virginia Rail. Incorporating imperfect detection resulted in higher occupancy and lower turnover rates for both species, with largest effects for the Virginia Rail. Forecasts using SPOMs were sensitive to both missing data and false absences; persistence in models assuming no false absences was more optimistic than from robust models. Our results suggest that incorporating false absences and missing data into the IFM can improve (1) estimates of dispersal ability and the effect of connectivity on colonization, (2) the scaling of extinction risk with patch area, and (3) forecasts of occupancy and turnover rates.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=agr&AN=IND605236026&site=eds-live&scope=site&custid=s2775460"
"robustâdesign formulation of the incidence function model of metapopulation dynamics applied to two species of rails","Risk, Benjamin B.; Perry de Valpine; Steven R. Beissinger","Ecology",="00129658",,="2011","92","2","462","13","edsagr.US201600197454","10.1890/09-2402.1","Ecological Society of America","Article","risk; models; data collection; Rallus limicola; extinction; body size; birds; Bayesian theory",,"JOURNAL ARTICLE","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsagr&AN=edsagr.US201600197454&site=eds-live&scope=site&custid=s2775460"
"A metapopulation model with Markovian landscape dynamics","McVinish, R.; Pollett, P.K.; Chan, Y.S.","Theoretical Population Biology",="00405809",,="December 2016","112",,"80","17","S0040580916300478","10.1016/j.tpb.2016.08.005","Elsevier Inc.","fla","Dynamic landscape; Equilibrium; Incidence function model; Markov dual process; Persistence",,"We study a variant of Hanski’s incidence function model that allows habitat patch characteristics to vary over time following a Markov process. The widely studied case where patches are classified as either suitable or unsuitable is included as a special case. For large metapopulations, we determine a recursion for the probability that a given habitat patch is occupied. This recursion enables us to clarify the role of landscape dynamics in the survival of a metapopulation. In particular, we show that landscape dynamics affects the persistence and equilibrium level of the metapopulation primarily through its effect on the distribution of a local population’s life span.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edselp&AN=S0040580916300478&site=eds-live&scope=site&custid=s2775460"
"Intense grazing of calcareous grasslands has negative consequences for the threatened marsh fritillary butterfly","Johansson, Victor; Kindvall, Oskar; Askling, John; Franzén, Markus","Biological Conservation",="00063207",,="November 2019","239",,,,"S0006320719310894","10.1016/j.biocon.2019.108280","Elsevier Ltd","fla","Euphydryas aurinia; Incidence function model; Larvae autumn nests; Management; Metapopulation; Population persistence",,"Highlights •We study how grazing affects habitat quality and persistence of the marsh fritillary.•Ungrazed habitat harbored 4.8 times more larvae autumn nests compared to grazed.•Grazing all habitat would decrease occupancy with 80%, based on future projections.•EU-subsidies for grazing result in a too intense grazing pressure that is detrimental.•The grazing regime must be better adapted to local conditions and target species.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edselp&AN=S0006320719310894&site=eds-live&scope=site&custid=s2775460"
