Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Long-term changes in boreal forest occupancy within regenerating harvest units","Leston, Lionel; Bayne, Erin; Schmiegelow, Fiona","Forest Ecology and Management",="03781127",,="1 August 2018","421",,"40","14","S0378112717316523","10.1016/j.foreco.2018.02.029","Elsevier B.V.","fla","Multi-season occupancy model; Boreal forest; Birds; Forestry; Regeneration",,"Highlights •5 of 17 bird species of forests ≥60 years old used cutblocks within 33 years post-harvest.•Species of younger forests, and generalists used cutblocks within 33 years post-harvest.•Higher occupancy by some species in cutblocks coincided with higher occupancy in unharvested forests.•Higher occupancy by 2 species coincided with outbreaks of spruce budworm between 1994 and 2017.•Return rates of 17 species were related to El Niño weather in previous winter.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edselp&AN=S0378112717316523&site=eds-live&scope=site&custid=s2775460"
"Multi-season occupancy analysis reveals large scale competitive exclusion of the critically endangered European mink by the invasive non-native American mink in Spain","Santulli, Giulia; Palazón, Santiago; Melero, Yolanda; Gosálbez, Joaquim; Lambin, Xavier","Biological Conservation",="00063207",,="August 2014","176",,"21","9","S0006320714001906","10.1016/j.biocon.2014.05.002","Elsevier Ltd","fla","Competitive exclusion; Invasive species; Mustela lutreola; Neovison vison; Two-species multi-season occupancy model",,"Highlights •We investigated the interaction between the invasive and the endemic mink in Spain.•The invasive species has been culled in the study area over the last decade.•Despite this, the expanding American mink is competitively excluding the European.•More locally intensive and spatially extensive culling effort is required.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edselp&AN=S0006320714001906&site=eds-live&scope=site&custid=s2775460"
"Bird community response to fruit energy","Peters, Valerie E.; Mordecai, Rua; Ronald Carroll, C.; Cooper, Robert J.; Greenberg, Russell","Journal of animal ecology",="00218790",,="2010","79","4","824","12","edsagr.US201301849705","10.1111/j.1365-2656.2010.01699.x","Oxford, UK : Blackwell Publishing Ltd","Article","fruit-frugivore; multi-season occupancy model; community stability; fruit energy; shade-grown coffee; agroecology",,"Includes references","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsagr&AN=edsagr.US201301849705&site=eds-live&scope=site&custid=s2775460"
"Long-term colonization and extinction patterns of a forest-dependent rodent (Muscardinus avellanarius) in highly fragmented landscapes","Iannarilli, Fabiola; Melcore, Ilaria; Sozio, Giulia; Roviani, Davide; Mortelliti, Alessio","HYSTRIX-ITALIAN JOURNAL OF MAMMALOGY",="03941914",,="2017","28","1",,"5","000399802200006","10.4404/hystrix-28.1-11886","ASSOC TERIOLOGICA ITALIANA",,"multi-season occupancy model; hazel dormouse; connectivity; presence-absence",,,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edswsc&AN=000399802200006&site=eds-live&scope=site&custid=s2775460"
"Occupancy modeling reveals territory-level effects of nest boxes on the presence, colonization, and persistence of a declining raptor in a fruit-growing region.","Shave, Megan E.; Lindell, Catherine A.","PLoS ONE",="19326203",,="10/18/2017","12","10","1","12","125792298","10.1371/journal.pone.0185701","Public Library of Science","Article","NEST predation; PREDATORY animals; NESTS; AGRICULTURE; CARNIVORA; ANIMAL habitations","Agriculture; Amniotes; Animal behavior; Animal sexual behavior; Animals; Behavior; Biology and life sciences; Birds; Community ecology; Ecology; Ecology and environmental sciences; Eukaryota; Farms; Geographical locations; Habitats; Habits; Michigan; Nesting habits; North America; Orchards; Organisms; People and places; Predation; Raptors; Research Article; Trophic interactions; United States; Vertebrates; Zoology","Nest boxes for predators in agricultural regions are an easily implemented tool to improve local habitat quality with potential benefits for both conservation and agriculture. The potential for nest boxes to increase raptor populations in agricultural regions is of particular interest given their positions as top predators. This study examined the effects of cherry orchard nest boxes on the local breeding population of a declining species, the American Kestrel (Falco sparverius), in a fruit-growing region of Michigan. During the 2013–2016 study, we added a total of 23 new nest boxes in addition to 24 intact boxes installed previously; kestrels used up to 100% of our new boxes each season. We conducted temporally-replicated surveys along four roadside transects divided into 1.6 km × 500 m sites. We developed a multi-season occupancy model under a Bayesian framework and found that nest boxes had strong positive effects on first-year site occupancy, site colonization, and site persistence probabilities. The estimated number of occupied sites increased between 2013 and 2016, which correlated with the increase in number of sites with boxes. Kestrel detections decreased with survey date but were not affected by time of day or activity at the boxes themselves. These results indicate that nest boxes determined the presence of kestrels at our study sites and support the conclusion that the local kestrel population is likely limited by nest site availability. Furthermore, our results are highly relevant to the farmers on whose properties the boxes were installed, for we can conclude that installing a nest box in an orchard resulted in a high probability of kestrels occupying that orchard or the areas adjacent to it. [ABSTRACT FROM AUTHOR] Copyright of PLoS ONE is the property of Public Library of Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=a9h&AN=125792298&site=eds-live&scope=site&custid=s2775460"
"Multi-Season Regional Analysis of Multi-Species Occupancy: Implications for Bird Conservation in Agricultural Lands in East-Central Argentina.","Goijman, Andrea Paula; Conroy, Michael. J.; Bernardos, Jaime Nicolás; Zaccagnini, María Elena","PLoS ONE",="19326203",,="Jun2015","10","6","1","27","103568302","10.1371/journal.pone.0130874","Public Library of Science","Article","BIRD conservation; AGRICULTURAL landscape management; AGRICULTURAL intensification; ECOSYSTEMS; SOYBEAN farming; ARGENTINA; Soybean Farming","Research Article","Rapid expansion and intensification of agriculture create challenges for the conservation of biodiversity and associated ecosystem services. In Argentina, the total row crop planted area has increased in recent decades with the expansion of soybean cultivation, homogenizing the landscape. In 2003 we started the first long-term, large-scale bird monitoring program in agroecosystems of central Argentina, in portions of the Pampas and Espinal ecoregions. Using data from this program, we evaluated the effect of land use and cover extent on birds between 2003-2012, accounting for imperfect detection probabilities using a Bayesian hierarchical, multi-species and multi-season occupancy model. We tested predictions that species diversity is positively related to habitat heterogeneity, which in intensified agroecosystems is thought to be mediated by food availability; thus the extent of land use and cover is predicted to affect foraging guilds differently. We also infer about ecosystem services provisioning and inform management recommendations for conservation of birds. Overall our results support the predictions. Although many species within each guild responded differently to land use and native forest cover, we identified generalities for most trophic guilds. For example, granivorous gleaners, ground insectivores and omnivores responded negatively to high proportions of soybean, while insectivore gleaners and aerial foragers seemed more tolerant. Habitat heterogeneity would likely benefit most species in an intensified agroecosystem, and can be achieved with a diversity of crops, pastures, and natural areas within the landscape. Although most studied species are insectivores, potentially beneficial for pest control, some guilds such as ground insectivores are poorly represented, suggesting that agricultural intensification reduces ecological functions, which may be recovered through management. Continuation of the bird monitoring program will allow us to continue to inform for conservation of birds in agroecosystems, identify research needed to reduce key uncertainties, and anticipate the effects of changes in agriculture in central Argentina. [ABSTRACT FROM AUTHOR] Copyright of PLoS ONE is the property of Public Library of Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=a9h&AN=103568302&site=eds-live&scope=site&custid=s2775460"
"Prey abundance and urbanization influence the establishment of avian predators in a metropolitan landscape.","McCabe, Jennifer D.; He Yin; Cruz, Jennyffer; Radeloff, Volker; Pidgeon, Anna; Bonter, David N.; Zuckerberg, Benjamin","Proceedings of the Royal Society B: Biological Sciences",="09628452",,="11/7/2018","285","1890","1","10","133536035","10.1098/rspb.2018.2120","Royal Society","Article","URBANIZATION; BIRD ecology; COYOTE; PUMAS; ACCIPITER; PREY availability",,"Urbanization causes the simplification of natural habitats, resulting in animal communities dominated by exotic species with few top predators. In recent years, however, many predators such as hawks, and in the US coyotes and cougars, have become increasingly common in urban environments. Hawks in the Accipiter genus, especially, are recovering from widespread population declines and are increasingly common in urbanizing landscapes. Our goal was to identify factors that determine the occupancy, colonization and persistence of Accipiter hawks in a major metropolitan area. Through a novel combination of citizen science and advanced remote sensing, we quantified how urban features facilitate the dynamics and long-term establishment of Accipiter hawks. Based on data from Project FeederWatch, we quantified 21 years (1996-2016) of changes in the spatiotemporal dynamics of Accipiter hawks in Chicago, IL, USA. Using a multi-season occupancy model, we estimated Cooper's (Accipiter cooperii) and sharp-shinned (A. striatus) hawk occupancy dynamics as a function of tree canopy cover, impervious surface cover and prey availability. In the late 1990s, hawks occupied 26% of sites around Chicago, but after two decades, their occupancy fluctuated close to 67% of sites and they colonized increasingly urbanized areas. Once established, hawks persisted in areas with high levels of impervious surfaces as long as those areas supported high abundances of prey birds. Urban areas represent increasingly habitable environments for recovering predators, and understanding the precise urban features that drive colonization and persistence is important for wildlife conservation in an urbanizing world. [ABSTRACT FROM AUTHOR] Copyright of Proceedings of the Royal Society B: Biological Sciences is the property of Royal Society and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edb&AN=133536035&site=eds-live&scope=site&custid=s2775460"
"Validating dispersal distances inferred from autoregressive occupancy models with genetic parentage assignments.","Hall, Laurie A.; Van Schmidt, Nathan D.; Beissinger, Steven R.","Journal of Animal Ecology",="00218790",,="May2018","87","3","691","12","129133975","10.1111/1365-2656.12811","Wiley-Blackwell","Article","Biodiversity; Habitats; Dispersal (Ecology); Occupancy-abundance relationship; Microsatellites (Genetics)","black rail; connectivity; dispersal; metapopulation; occupancy modeling; parentage analysis","Abstract: Dispersal distances are commonly inferred from occupancy data but have rarely been validated. Estimating dispersal from occupancy data is further complicated by imperfect detection and the presence of unsurveyed patches. We compared dispersal distances inferred from seven years of occupancy data for 212 wetlands in a metapopulation of the secretive and threatened California black rail (<italic>Laterallus jamaicensis coturniculus</italic>) to distances between parent‐offspring dyads identified with 16 microsatellites. We used a novel autoregressive multi‐season occupancy model that accounted for both unsurveyed patches and imperfect detection to quantify patch isolation using buffer radius (BRM) and incidence function (IFM) connectivity measures at 15 scales (1–10, 15, 20, 25, and 30 km). Connectivity measures were then fit as colonization covariates in occupancy models to estimate a model‐averaged dispersal distance. As predicted, colonization was more strongly related to connectivity at small spatial scales (<10 km). AIC weights were greatest at 7 km for BRM and at 4 km for IFM. Model‐averaged dispersal distances (BRM = 7.46 km; IFM = 5.48 km) showed good agreement with the mean <italic>M</italic>(±<italic>SE</italic>) dispersal distance from 23 parent‐offspring dyads (5.58 ± 1.92 km), indicating reasonably accurate mean dispersal distances can be inferred from occupancy data when isolation strongly affects colonization. [ABSTRACT FROM AUTHOR] Copyright of Journal of Animal Ecology is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=8gh&AN=129133975&site=eds-live&scope=site&custid=s2775460"
"Dynamic occupancy models for explicit colonization processes.","Broms, Kristin M.; Hooten, Mevin B.; Johnson, Devin S.; Altwegg, Res; Conquest, Loveday L.","Ecology",="00129658",,="Jan2016","97","1","194","11","112641711",,"Wiley-Blackwell","Article","STARLINGS; COLONIZATION (Ecology); SPATIOTEMPORAL processes; SPECIES distribution; DISPERSAL (Ecology)","Acridotheres tristis; citizen science; colonization; Common Myna; dynamic occupancy model; extinction; invasive species; multi ‐ season model; multi-season model; Southern African Bird Atlas Project; spatiotemporal processes; species distribution maps","The dynamic, multi-season occupancy model framework has become a popular tool for modeling open populations with occupancies that change over time through local colonizations and extinctions. However, few versions of the model relate these probabilities to the occupancies of neighboring sites or patches. We present a modeling framework that incorporates this information and is capable of describing a wide variety of spatiotemporal colonization and extinction processes. A key feature of the model is that it is based on a simple set of small-scale rules describing how the process evolves. The result is a dynamic process that can account for complicated large-scale features. In our model, a site is more likely to be colonized if more of its neighbors were previously occupied and if it provides more appealing environmental characteristics than its neighboring sites. Additionally, a site without occupied neighbors may also become colonized through the inclusion of a long-distance dispersal process. Although similar model specifications have been developed for epidemiological applications, ours formally accounts for detectability using the well-known occupancy modeling framework. After demonstrating the viability and potential of this new form of dynamic occupancy model in a simulation study, we use it to obtain inference for the ongoing Common Myna ( Acridotheres tristis) invasion in South Africa. Our results suggest that the Common Myna continues to enlarge its distribution and its spread via short distance movement, rather than long-distance dispersal. Overall, this new modeling framework provides a powerful tool for managers examining the drivers of colonization including short- vs. long-distance dispersal, habitat quality, and distance from source populations. [ABSTRACT FROM AUTHOR] Copyright of Ecology is the property of John Wiley & Sons, Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=puh&AN=112641711&site=eds-live&scope=site&custid=s2775460"
"Prey abundance and urbanization influence the establishment of avian predators in a metropolitan landscape.","McCabe JD; Yin H; Cruz J; Radeloff V; Pidgeon A; Bonter DN; Zuckerberg B","Proceedings. Biological sciences",="1471-2954",,="2018 Nov 07","285","1890",,,"30404886","10.1098/rspb.2018.2120","Royal Society of London","Journal Article","Chicago; Ecosystem; Food Chain; Hawks physiology; Animals; Birds physiology; Chicago; Models, Biological; Population Dynamics; Remote Sensing Technology; Seasons; Urbanization",,"Urbanization causes the simplification of natural habitats, resulting in animal communities dominated by exotic species with few top predators. In recent years, however, many predators such as hawks, and in the US coyotes and cougars, have become increasingly common in urban environments. Hawks in the Accipiter genus, especially, are recovering from widespread population declines and are increasingly common in urbanizing landscapes. Our goal was to identify factors that determine the occupancy, colonization and persistence of Accipiter hawks in a major metropolitan area. Through a novel combination of citizen science and advanced remote sensing, we quantified how urban features facilitate the dynamics and long-term establishment of Accipiter hawks. Based on data from Project FeederWatch, we quantified 21 years (1996-2016) of changes in the spatio-temporal dynamics of Accipiter hawks in Chicago, IL, USA. Using a multi-season occupancy model, we estimated Cooper's ( Accipiter cooperii ) and sharp-shinned ( A. striatus ) hawk occupancy dynamics as a function of tree canopy cover, impervious surface cover and prey availability. In the late 1990s, hawks occupied 26% of sites around Chicago, but after two decades, their occupancy fluctuated close to 67% of sites and they colonized increasingly urbanized areas. Once established, hawks persisted in areas with high levels of impervious surfaces as long as those areas supported high abundances of prey birds. Urban areas represent increasingly habitable environments for recovering predators, and understanding the precise urban features that drive colonization and persistence is important for wildlife conservation in an urbanizing world. © 2018 The Author(s).","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=mnh&AN=30404886&site=eds-live&scope=site&custid=s2775460"
