Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"The limiting behaviour of a stochastic patch occupancy model","McVinish, R.; Pollett, P. K.","Journal of Mathematical Biology",="03036812",,="2013","67","3","693","24","edssjs.E8521689","10.1007/s00285-012-0568-z","Springer Berlin Heidelberg","Original Paper","Metapopulation; Scaling; SPOM; Weak convergence; 60J10; 60F05; 92D40",,"Metapopulation models have been used to better understand the conditions necessary for the persistence of the metapopulation. In this paper, we study a stochastic patch occupancy model that incorporates variation in quality and connectivity of the habitat patches. Two important assumptions are imposed in our analysis. Firstly, the distance between patches has a special form. This amounts to assuming that migrating individuals follow certain pathways. Secondly, the area of the habitat patches is assumed to scale with the number of patches in the metapopulation. Under these assumptions, a deterministic limit is obtained as the number of patches goes to infinity. Using the deterministic limiting process, a condition for persistence of the metapopulation is derived.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edssjs&AN=edssjs.E8521689&site=eds-live&scope=site&custid=s2775460"
"Non-equilibrium plant metapopulation dynamics challenge the concept of ancient/recent forest species","Lalechère, Etienne; Jabot, Franck; Archaux, Frédéric; Deffuant, Guillaume","Ecological Modelling",="03043800",,="24 December 2017","366",,"48","10","S0304380016307645","10.1016/j.ecolmodel.2017.10.008","Elsevier B.V.","fla","Stochastic patch occupancy model; Landscape dynamics; Dispersal limitation; Recruitment limitation; Species turnover; Parameter estimation",,"Highlights •We develop an inference method for a metapopulation model in a dynamic landscape.•The model enables to reproduce spatial occupancy patterns of most studied species.•Forest plants species are distributed along a spectrum of turn-over speed.•Ancient and recent forest species are at the extremes of this spectrum.•Position along this spectrum is driven by landscape and species traits.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edselp&AN=S0304380016307645&site=eds-live&scope=site&custid=s2775460"
"Connecting deterministic and stochastic metapopulation models","Barbour, A. D.; McVinish, R.; Pollett, P. K.","Journal of Mathematical Biology",="03036812",,="2015","71","6-7","1481","24","edssjs.83BB24E5","10.1007/s00285-015-0865-4","Springer Berlin Heidelberg","Original Paper","Stochastic patch occupancy model (SPOM); Vapnik–Chervonenkis theory; 92D40; 60J10; 60J27",,"In this paper, we study the relationship between certain stochastic and deterministic versions of Hanski’s incidence function model and the spatially realistic Levins model. We show that the stochastic version can be well approximated in a certain sense by the deterministic version when the number of habitat patches is large, provided that the presence or absence of individuals in a given patch is influenced by a large number of other patches. Explicit bounds on the deviation between the stochastic and deterministic models are given.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edssjs&AN=edssjs.83BB24E5&site=eds-live&scope=site&custid=s2775460"
"Improved Bayesian Analysis of Metapopulation Data with an Application to a Tree Frog Metapopulation","Cajo J. F. ter Braak; Rampal S. Etienne","Ecology",="00129658",,="2003","84","1","231","11","edsjsr.3108011",,"Ecological Society of America","research-article","Bayesian Analysis; Colonization; Data Augmentation; Extinction; Incidence Function Model; Markov Chain Monte Carlo; Metapopulation; Quasi-Stationarity; Stochastic Patch Occupancy Model (SPOM); Tree Frog; Metapopulation ecology; Parametric models; Modeling; Ecological modeling; Datasets; Missing data; Estimation methods; Probability distributions; Bayesian analysis; Conservation biology",,"Metapopulation models are important tools to predict whether a species can persist in a landscape consisting of habitat patches. Here a Bayesian method is presented for estimating parameters of such models from data on patch occupancy in one or more years. Earlier methods were either ad hoc, produced only point estimates, or could only use turnover information. The new method is based on the assumption of quasi-stationarity, which enables it to use not only turnover data, but also snapshot data. Being Bayesian, the method produces reliable information about the uncertainty of the parameters and model-based predictions in the form of posterior distributions. It is computationally demanding, but considerably faster than a recently developed Bayesian method extended beyond turnover data. The method is compared with existing methods (placed in a Bayesian framework) by fitting an extended incidence function model to a data set on a tree frog metapopulation with many missing values and by predicting its viability, mean occupancy, and turnover rate after 100 yr.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsjsr&AN=edsjsr.3108011&site=eds-live&scope=site&custid=s2775460"
"From Individual Behavior to Metapopulation Dynamics: Unifying the Patchy Population and Classic Metapopulation Models","Otso Ovaskainen; Ilkka Hanski; Associate Editor: Rolf A. Ims","The American Naturalist",="00030147",,="2004","164","3","364",,"edsjsr.10.1086.423151","10.1086/423151","The University of Chicago Press","research-article","patchy population; metapopulation; individual‐based model; stochastic patch occupancy model; Glanville fritillary butterfly; SPOMSIM; Metapopulation ecology; Habitats; Parametric models; Stochastic models; Spatial models; Modeling; Butterflies; Female animals; Human migration; Population size",,"Spatially structured populations in patchy habitats show much variation in migration rate, from patchy populations in which individuals move repeatedly among habitat patches to classic metapopulations with infrequent migration among discrete populations. To establish a common framework for population dynamics in patchy habitats, we describe an individual‐based model (IBM) involving a diffusion approximation of correlated random walk of individual movements. As an example, we apply the model to the Glanville fritillary butterfly ( Melitaea cinxia ) inhabiting a highly fragmented landscape. We derive stochastic patch occupancy model (SPOM) approximations for the IBMs assuming pure demographic stochasticity, uncorrelated environmental stochasticity, or completely correlated environmental stochasticity in local dynamics. Using realistic parameter values for the Glanville fritillary, we show that the SPOMs mimic the behavior of the IBMs well. The SPOMs derived from IBMs have parameters that relate directly to the life history and behavior of individuals, which is an advantage for model interpretation and parameter estimation. The modeling approach that we describe here provides a unified framework for patchy populations with much movements among habitat patches and classic metapopulations with infrequent movements.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsjsr&AN=edsjsr.10.1086.423151&site=eds-live&scope=site&custid=s2775460"
"On Metapopulation Resistance to Drift and Extinction","Laurent Lehmann; Nicolas Perrin","Ecology",="00129658",,="2006","87","7","1844",,"edsjsr.20069139",,"Ecological Society of America","research-article","biodiversity; connectivity; eigenvalue effective size; fragmentation; landscape; matrix analysis; stochastic patch occupancy model (SPOM); Metapopulation ecology; Demography; Ecological genetics; Eigenvalues; Population size; Population genetics; Species extinction; Connectivity; Conservation biology; Matrices",,"The spatial configuration of metapopulations (numbers, sizes, and localization of patches) affects their ability to resist demographic extinction and genetic drift, but sometimes with opposite effects. Small and isolated patches, for instance, contribute marginally to demography but may play a large role in genetics by maintaining a sizeable amount of genetic variance among demes. In source-sink systems, similarly, connectivity may be beneficial in terms of effective size, but detrimental in terms of survival, by lowering the reproductive value of source populations. How to reconcile these opposite effects? Here we propose an analytical framework that integrates fixation time (ability to resist genetic drift) and extinction time (ability to resist demographic extinction) into a single index of resistance, measuring the ability of a metapopulation to maintain its demo-genetic integrity. We then illustrate with numerical examples how conflicting demands may be resolved.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsjsr&AN=edsjsr.20069139&site=eds-live&scope=site&custid=s2775460"
"The Effective Size of a Metapopulation Living in a Heterogeneous Patch Network","Otso Ovaskainen; Associate Editor: Lenore Fahrig","The American Naturalist",="00030147",,="2002","160","5","612",,"edsjsr.10.1086.342818","10.1086/342818","The University of Chicago Press","research-article","metapopulation dynamics; stochastic patch occupancy model; ideal metapopulation; heterogeneous landscape; mean‐field approximation; quasi‐stationary distribution; Metapopulation ecology; Parametric models; Habitats; Modeling; Stochastic models; Spatial models; Ecological modeling; Approximation; Population dynamics; Population size",,"I analyze stochastic patch occupancy models (SPOMs), which record habitat patches as empty or occupied. A problem with SPOMs has been that if the spatial structure of a heterogeneous habitat patch network is taken into account, the computational effort needed to analyze a SPOM grows as a power of 2 n , where n is the number of habitat patches. I propose a computationally feasible approximation method, which approximates the behavior of a heterogeneous SPOM by an “ideal” metapopulation inhabiting a network of identical and equally connected habitat patches. The transformation to the ideal metapopulation is based on weighting the individual patch occupancies by the dynamic values of the habitat patches, which may be calculated from the deterministic mean‐field approximation of the original SPOM. Conceptually, the method resembles the calculation of the effective size of a population in the context of population genetics. I demonstrate how the method may be applied to SPOMs with flexible structural assumptions and with spatially correlated and temporally varying parameter values. I apply the method to a real habitat patch network inhabited by the Glanville fritillary butterfly, illustrating that the metapopulation dynamics of this species are essentially driven by temporal variability in the environmental conditions.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsjsr&AN=edsjsr.10.1086.342818&site=eds-live&scope=site&custid=s2775460"
"Using metapopulation models to assess species conservation–ecosystem restoration trade-offs","Wood, Connor M.; Whitmore, Sheila A.; Gutiérrez, R.J.; Sawyer, Sarah C.; Keane, John J.; Peery, M. Zachariah","Biological Conservation",="00063207",,="August 2018","224",,"248","10","S000632071731769X","10.1016/j.biocon.2018.05.001","Elsevier Ltd","fla","Metapopulation model; Patch occupancy; Recolonization; Spotted owl; Strix occidentalis",,"Ecological restoration is needed to counter global-scale ecosystem degradation, but can conflict with endangered species conservation when restoration impacts habitat quality. In such cases, prioritizing long-vacant patches for restoration is an intuitively appealing strategy for minimizing the effects on endangered species. Metapopulation models grounded in empirical data potentially provide a rigorous framework for developing theoretical “patch vacancy thresholds” (i.e., duration of vacancy required before implementing restoration) and assessing the implications of such criteria for restoration objectives. We develop such a model for spotted owls (Strix occidentalis), which embody the species–ecosystem dilemma given their preference for closed-canopy forests that are also susceptible to severe fire and drought and hence the center of debates about forest restoration intended to reduce fire and drought risk. We leveraged a >20-year territory occupancy dataset to parameterize a Stochastic Patch Occupancy Model (SPOM) to assess relative risk to a metapopulation of owls in California under alternative conservation guidelines, including a range of vacancy thresholds. Territories with greater amounts of owl habitat were more likely to be recolonized and less likely to go extinct. Importantly, the probability of a vacant owl territory becoming recolonized declined as length of vacancy increased; territories vacant for 1 and 10 years had annual recolonization probabilities of 0.34 and 0.06, respectively. Based on our SPOM, projected territory occupancy rates declined as the vacancy threshold decreased and as habitat within territories was impacted by restoration. However, more liberal territory vacancy thresholds were projected to increase the proportion of territories (and thus landscape) that could be restored and that restored conditions could be maintained with repeated treatments. Reintroducing natural disturbance regimes, which eliminated the need for repeated treatments, was projected to reduce risk to owls, particularly with relaxed vacancy thresholds. We provide a simple, yet novel, metapopulation framework for quantifying how alternative conservation guidelines might impact owl occupancy and influence forest restoration guidelines. Similar analyses could facilitate restoration efforts in other systems by more explicitly quantifying tradeoffs between species–ecosystem objectives.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edselp&AN=S000632071731769X&site=eds-live&scope=site&custid=s2775460"
"Evaluating the combined effects of climate and land-use change on tree species distributions.","García‐Valdés, Raúl; Svenning, Jens‐Christian; Zavala, Miguel A.; Purves, Drew W.; Araújo, Miguel B.; Saura, Santiago","Journal of Applied Ecology",="00218901",,="Aug2015","52","4","902","11","108351920",,"Wiley-Blackwell","Article","ANTHROPOGENIC effects on nature; PLANT species; CLIMATE change; LAND use; SPECIES distribution; COLONIZATION (Ecology); BIOLOGICAL extinction","climate change mitigation; climatic disequilibrium; deforestation; habitat loss and fragmentation; Iberian Peninsula; Mediterranean; metapopulation dynamics; non‐equilibrium dynamics; non-equilibrium dynamics; reforestation; stochastic patch occupancy model","A large proportion of the world's biodiversity is reportedly threatened by habitat loss and climate change. However, there are few studies that investigate the interaction between these two threats using empirical data., Here, we investigate interactions between climate change and land-use change in the future distribution of 23 dominant tree species in mainland Spain. We simulated changes up to year 2100 using a climate-dependent Stochastic Patch Occupancy Model, parameterized with colonization and extinction events recorded in 46 596 survey plots., We estimated that the distribution of 17 out of 23 tree species are expanding and hence not at equilibrium with the climate. However, climate change will make the future occupancy of 15 species to be lower than expected if climate, and habitat, remained stable (baseline scenario)., Climate change, when combined with the loss of 20% of the habitat, was estimated to reduce species occupancies (relative to baseline projections) by an average of 23% if habitat loss was spatially clumped, and by 35% if it was scattered. If habitat loss occurred in areas already impacted by human activities, species occupancies would be reduced by 26%. Land-use changes leading to habitat gain (i.e. creation through reforestation) could slightly mitigate the effects of climate change, but a 20% increment in habitat would reduce climate change-driven losses in species occupancies by only ∼3%., Synthesis and applications. The distributions of the most common tree species in mainland Spain are expanding, but climate change threatens to reduce this expansion by ∼18% for 15 of the 23 studied species. Moreover, if the habitat of these species is simultaneously lost, the occupancies of all of them will be reduced further, with variation depending on the spatial pattern of the lost habitats. However, we did not detect synergies between climate change and habitat loss. The combined effect (with 20% habitat loss) was 5-13% less than what it would be if the effects were additive. Importantly, reforestation could partially offset the negative effects of climate change, but complete mitigation would require an increase in forested land of ∼80%, and the prioritization of territories that are less impacted by human activities. [ABSTRACT FROM AUTHOR] Copyright of Journal of Applied Ecology is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=puh&AN=108351920&site=eds-live&scope=site&custid=s2775460"
"SPOMSIM: software for stochastic patch occupancy models of metapopulation dynamics","Moilanen, Atte","Ecological Modelling",="03043800",,="2004","179","4","533","18","S0304380004002790","10.1016/j.ecolmodel.2004.04.019","Elsevier B.V.","fla","Computer software; Incidence function model; Reserve network design; Metapopulation dynamics; Spatial population dynamics; Stochastic patch occupancy model",,"Classical metapopulations are groups of local populations living in networks of spatially distinct habitat patches in a balance between local extinctions and recolonizations of empty habitat. Models are needed for understanding and predicting metapopulation dynamics in changing landscapes. One particularly important question is what is the effect of habitat loss to the persistence of a metapopulation. A class of metapopulation models that have been successfully used in practical applications are called stochastic patch occupancy models (SPOMs), which model the presence/absence of the species on habitat patches as a Markov chain. The presence–absence assumption makes the model relatively parameter sparse, facilitates empirical data collection, and enables rigorous parameter estimation. This study reviews theory of SPOMs and describes a computational tool, called SPOMSIM, which allows one to simulate SPOMs and estimate parameters for them. SPOMSIM offers a range of choices for submodels; alternatives are provided for the functional forms of local extinction, the dispersal kernel, computation of connectivity, the colonization function, the implementation of the rescue effect and the implementation of regional stochasticity. SPOMSIM includes also, among other things, a utility based on hierarchical clustering for the analysis of the structure of a patch network, a reserve network optimization algorithm, and a patch system editor which makes it possible to investigate the consequences of changes in landscape structure. Potential uses for SPOMSIM include scientific metapopulation studies, teaching and conservation management.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edselp&AN=S0304380004002790&site=eds-live&scope=site&custid=s2775460"
